frame,timestamp,confidence,success,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c,EAR,Pupil_Scale (Left),Pupil_Scale (Right)
1,0.0,0.88,1,-0.134,0.339,0.011,0.14,0.004,0.5,0.0,0.19,0.0,0.67,1.12,0.11,0.86,1.8,2.14,0.0,1.95,0.0,0.0,0.69,0.0,1.19,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16414795165996116,28.50157890363269,28.304416616492865
2,0.04,0.88,1,-0.102,0.367,0.021,0.137,-0.004,0.61,0.0,0.29,0.02,0.73,1.19,0.04,0.86,1.84,2.04,0.02,1.58,0.0,0.0,1.1,0.0,1.27,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.18056720239878005,32.182293268193206,31.502539580167184
3,0.08,0.88,1,-0.138,0.374,0.034,0.141,-0.009,0.67,0.0,0.39,0.04,0.76,1.15,0.0,0.89,1.88,1.92,0.02,1.36,0.0,0.0,1.38,0.0,1.47,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.17099083281049332,31.445985435346202,30.108138434649103
4,0.12,0.88,1,-0.164,0.395,0.059,0.142,-0.017,0.77,0.0,0.26,0.03,0.74,1.0,0.0,0.93,1.89,1.88,0.02,1.24,0.0,0.0,1.48,0.0,1.68,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1604921141656106,32.00562450570212,28.311305162425793
5,0.16,0.88,1,-0.162,0.388,0.07,0.143,-0.024,0.77,0.0,0.23,0.03,0.77,0.92,0.0,1.03,1.86,1.76,0.0,1.18,0.0,0.0,1.59,0.0,1.69,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.17415000982732082,31.415919531345978,27.518175811634027
6,0.2,0.88,1,-0.172,0.391,0.066,0.147,-0.03,0.83,0.0,0.16,0.0,0.73,0.77,0.01,1.05,1.82,1.75,0.0,1.06,0.0,0.0,1.68,0.05,1.69,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.16336228280814338,31.101446911679115,26.915051551130365
7,0.24,0.88,1,-0.177,0.381,0.084,0.153,-0.039,0.81,0.0,0.3,0.0,0.65,0.87,0.02,0.98,1.66,1.74,0.0,1.0,0.0,0.0,1.8,0.25,1.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.18264271013980007,32.30015479839063,26.722649569232505
8,0.28,0.88,1,-0.187,0.39,0.07,0.157,-0.044,0.92,0.0,0.39,0.0,0.56,0.84,0.02,0.87,1.53,1.78,0.0,0.9,0.0,0.0,1.87,0.57,1.84,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.17981097974141808,33.600148809194195,27.122315535366944
9,0.32,0.88,1,-0.205,0.44,0.086,0.154,-0.051,0.86,0.0,0.44,0.0,0.63,0.74,0.01,0.87,1.45,1.93,0.0,0.86,0.0,0.0,2.09,0.85,2.29,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.15084720418299755,33.002424153386066,27.247018185482286
10,0.36,0.88,1,-0.22,0.539,0.085,0.152,-0.055,0.82,0.0,0.53,0.0,0.83,0.54,0.0,0.98,1.61,2.26,0.0,0.76,0.0,0.0,2.26,1.02,2.85,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.04371432549480813,35.75597852108096,28.700000000000045
