frame,timestamp,confidence,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,EAR,Pupil_Scale (Left),Pupil_Scale (Right)
13,0.48,0.98,0.176,0.39,0.226,-0.18,0.103,0.2519972784263097,22.901964981197434,24.300000000000068
14,0.52,0.98,0.173,0.359,0.201,-0.21,0.089,0.2515911423017163,23.40000000000009,27.504545078950134
15,0.56,0.98,0.183,0.371,0.215,-0.217,0.092,0.2528719052389067,23.403418553706928,26.702996086581678
16,0.6,0.98,0.166,0.401,0.227,-0.22,0.095,0.24158046687756737,23.0,26.911893281595752
17,0.64,0.98,0.152,0.413,0.226,-0.221,0.098,0.23714699519336457,23.203448019637126,26.722649569232395
18,0.68,0.98,0.166,0.426,0.233,-0.224,0.095,0.23997940512489413,22.70198229230196,25.901737393464533
19,0.72,0.98,0.158,0.427,0.235,-0.23,0.088,0.2387577754879526,21.702073633641604,22.200225224082683
20,0.76,0.98,0.134,0.426,0.236,-0.227,0.076,0.2377247976122251,20.903827400741804,22.008180297334896
21,0.8,0.98,0.128,0.431,0.23,-0.224,0.072,0.23677004971596943,22.114474897677223,21.80573319106693
22,0.84,0.98,0.134,0.425,0.216,-0.215,0.064,0.234363155649546,21.33963448609202,22.414281161795017
23,0.88,0.98,0.131,0.442,0.224,-0.2,0.058,0.21860581296274909,20.180436070610476,21.80022935659171
24,0.92,0.98,0.16,0.463,0.253,-0.18,0.065,0.20674376024904265,19.158809983921145,22.810743083029934
25,0.96,0.98,0.1,0.501,0.305,-0.16,0.076,0.16076864821410164,16.504847772699996,19.11674658512783
26,1.0,0.98,0.104,0.529,0.365,-0.133,0.073,0.14791819084640934,17.40459709387147,18.333030300525834
27,1.04,0.98,0.104,0.574,0.425,-0.095,0.06,0.1484615541603826,16.614752480852697,15.239750654128104
28,1.08,0.98,0.11,0.612,0.458,-0.062,0.036,0.15955504906912543,19.24396009141563,16.857639217873942
29,1.12,0.98,0.152,0.647,0.477,-0.059,0.012,0.15511598751316233,19.61275095441738,18.741664813991314
30,1.16,0.98,0.188,0.658,0.508,-0.058,-0.006,0.15296942902668675,18.369812192834154,16.868906307167546
31,1.2,0.82,0.181,0.693,0.587,-0.085,0.002,0.18513486607437754,17.917868176766987,17.26267650163207
32,1.24,0.98,0.209,0.467,0.25,-0.011,-0.096,0.15055139830193318,19.251233726699184,15.670673246545594
33,1.28,0.98,0.157,0.546,0.378,0.027,-0.11,0.17136651834186473,19.087430418995584,18.65609819871245
34,1.32,0.98,0.187,0.579,0.418,0.018,-0.127,0.15894906775358852,17.8084249724674,20.534117950377077
35,1.36,0.98,0.21,0.58,0.419,-0.008,-0.138,0.1581396345853867,19.51435369157792,18.376343488300396
36,1.4,0.98,0.205,0.584,0.416,-0.033,-0.137,0.15366269982436304,20.8904284302644,15.108275877809463
37,1.44,0.98,0.26,0.544,0.437,-0.056,-0.14,0.15337448478194754,23.380333616097104,20.02623279601031
38,1.48,0.98,0.271,0.605,0.471,-0.045,-0.146,0.1981496452042791,23.377339455121994,18.97182120936211
39,1.52,0.98,0.252,0.604,0.453,-0.055,-0.144,0.1882032229016724,26.4370951505644,19.284449693989206
40,1.56,0.93,0.303,0.6,0.472,-0.064,-0.147,0.19233652837748094,23.82015952927261,20.98761539575187
41,1.6,0.88,0.28,0.587,0.469,-0.069,-0.151,0.1965834947456372,24.54730127732984,19.492819190666058
42,1.64,0.98,0.263,0.567,0.458,-0.064,-0.154,0.2129144109810437,24.45587863888761,17.734147850968185
43,1.68,0.98,0.246,0.56,0.457,-0.058,-0.149,0.20861224727430566,25.10338622576638,18.14662503056695
44,1.72,0.98,0.297,0.565,0.479,-0.063,-0.142,0.19556036068522828,24.221684499637966,20.241788458533048
45,1.76,0.88,0.324,0.574,0.488,-0.077,-0.142,0.1945573607288324,24.742069436488155,20.73475343475301
46,1.8,0.93,0.34,0.583,0.505,-0.083,-0.142,0.1802027149658925,23.987079855622216,21.12865353021812
47,1.84,0.98,0.351,0.55,0.505,-0.085,-0.143,0.18398576924942278,23.04886114323222,21.303755537463378
48,1.88,0.98,0.354,0.549,0.502,-0.087,-0.142,0.17339352262384367,21.964744478367983,19.366207682455496
49,1.92,0.98,0.358,0.516,0.505,-0.101,-0.134,0.15806754309639276,24.06345777314637,19.93313823761824
50,1.96,0.98,0.366,0.527,0.511,-0.101,-0.128,0.15986966781137518,24.35939243905721,19.175505208468458
51,2.0,0.98,0.356,0.542,0.51,-0.099,-0.124,0.16543438227899807,24.58373446000422,19.016834647227707
52,2.04,0.98,0.348,0.538,0.496,-0.104,-0.12,0.16806009329167793,23.356583654293328,17.917868176767044
53,2.08,0.93,0.338,0.531,0.508,-0.105,-0.116,0.16397314501714982,22.39866067424575,19.40231944897308
54,2.12,0.98,0.314,0.513,0.496,-0.107,-0.12,0.16295846101805575,22.14158982548453,20.41984329028994
55,2.16,0.98,0.323,0.496,0.491,-0.109,-0.124,0.15867237449912425,22.475097330156288,19.881649830937132
56,2.2,0.98,0.305,0.515,0.494,-0.106,-0.119,0.16965640802348655,23.186418438387612,20.148697228357
57,2.24,0.98,0.286,0.504,0.438,-0.112,-0.114,0.1712013199156508,22.649724060129287,21.821548982599786
58,2.28,0.98,0.333,0.503,0.387,-0.119,-0.106,0.156294374633566,26.73200329193454,29.197260145431514
92,3.64,0.88,0.118,0.376,0.293,-0.138,0.025,0.1479087761889809,27.20900586203036,25.81569290179916
94,3.72,0.88,0.239,0.518,0.437,-0.108,0.06,0.13554883205180307,22.67355287554202,19.782062582046322
95,3.76,0.88,0.125,0.511,0.492,-0.088,0.069,0.14478319168190873,22.173181999884473,20.67704040717627
96,3.8,0.88,0.097,0.484,0.525,-0.069,0.07,0.17441878304343422,23.983536019528152,28.476305940202273
97,3.84,0.88,0.09,0.463,0.517,-0.067,0.075,0.17560431307996216,24.19132075766031,27.865749586185547
98,3.88,0.88,0.064,0.508,0.532,-0.062,0.08,0.18296291552693295,24.782251713676082,25.89536638087984
99,3.92,0.88,0.087,0.483,0.524,-0.052,0.083,0.1905132923498848,22.130521909796883,26.044961124947005
100,3.96,0.88,0.09,0.492,0.545,-0.032,0.069,0.19407638375076797,24.140629652102973,26.502264054227545
101,4.0,0.88,0.06,0.491,0.54,-0.028,0.064,0.17812017865686655,24.560130292813874,27.964441707282504
102,4.04,0.88,0.07,0.497,0.544,-0.025,0.051,0.18045960400326647,24.47243347115287,28.031589323475774
103,4.08,0.88,0.086,0.5,0.536,-0.025,0.04,0.17010126130676573,24.339268682522125,28.693727537564754
104,4.12,0.77,0.1,0.5,0.518,-0.026,0.029,0.1751317157679359,24.39057194901337,26.261188091935168
105,4.16,0.77,0.142,0.487,0.509,-0.033,0.022,0.1752653108416754,24.32878953010203,23.207972767995056
106,4.2,0.88,0.175,0.51,0.514,-0.032,0.014,0.1736273928131582,22.826519664635644,24.397745797511718
107,4.24,0.88,0.169,0.479,0.505,-0.036,0.007,0.17708161302441322,22.61415485929114,25.71944789454086
108,4.28,0.77,0.142,0.45,0.504,-0.046,0.004,0.17700377040151744,26.902973813316713,23.401922997907647
109,4.32,0.88,0.144,0.458,0.483,-0.055,0.005,0.18151808901432018,25.823438965405007,27.711549938608673
113,4.48,0.77,0.075,0.383,0.455,-0.073,-0.041,0.1557388394240291,25.640007800310915,24.561758894672067
115,4.56,0.77,0.028,0.416,0.463,-0.098,-0.05,0.16463363162624814,29.32047066470789,20.467779557147903
116,4.6,0.98,-0.036,0.388,0.434,-0.114,-0.05,0.14999210177069325,23.22068043792005,27.280945731407417
117,4.64,0.88,0.018,0.37,0.41,-0.118,-0.049,0.15194257741084383,26.148996156640486,26.63324989557232
118,4.68,0.88,-0.003,0.338,0.365,-0.126,-0.047,0.1435140713595334,23.777510382712503,26.404734423962708
119,4.72,0.88,0.045,0.372,0.317,-0.137,-0.043,0.17142311959137402,23.01390883791799,20.87869727736864
120,4.76,0.88,-0.002,0.405,0.302,-0.14,-0.031,0.17617762737886528,23.521266972678152,19.30414463269483
121,4.8,0.88,0.077,0.378,0.309,-0.149,-0.008,0.16770878209133794,21.384573879317724,24.06844407102377
122,4.84,0.88,0.056,0.406,0.304,-0.136,0.012,0.15783243273416536,23.85330165826099,22.808989455914055
123,4.88,0.88,0.116,0.436,0.305,-0.148,0.019,0.16795898252331515,26.717222909576524,23.249946236496974
124,4.92,0.98,0.139,0.408,0.295,-0.156,0.021,0.18452103683679558,19.720547659737985,19.744872752185568
125,4.96,0.98,0.202,0.377,0.24,-0.15,0.007,0.19661865015531527,21.300938946440787,20.308126452235832
126,5.0,0.88,0.195,0.391,0.189,-0.134,-0.002,0.16644705882271665,20.4244950977986,24.881519246219717
127,5.04,0.88,0.18,0.375,0.127,-0.145,-0.005,0.1648744311838448,21.503720608304043,24.318717071424565
128,5.08,0.93,0.193,0.37,0.11,-0.142,-0.014,0.16468037373671002,21.219095173922987,22.363586474445512
129,5.12,0.88,0.224,0.388,0.116,-0.148,-0.012,0.16809723683281735,21.3114992433662,22.68611910398074
130,5.16,0.88,0.237,0.395,0.11,-0.153,-0.004,0.17318439689772563,20.824024587000423,24.014162487998675
131,5.2,0.82,0.261,0.408,0.094,-0.152,0.012,0.16532508494775217,21.111608181282545,24.126748641290202
