frame,timestamp,confidence,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,EAR,Pupil_Scale (Left),Pupil_Scale (Right)
1,0.0,0.98,-0.019,0.349,0.194,-0.024,-0.02,0.23107459866865915,20.035967658189108,23.800210083106364
2,0.04,0.98,-0.011,0.385,0.186,-0.013,-0.028,0.23053719309805953,22.199549544979416,24.801814449753422
3,0.08,0.98,-0.026,0.387,0.204,-0.022,-0.013,0.23298533639745853,21.63908500838254,25.40492078318673
4,0.12,0.98,-0.03,0.391,0.203,-0.01,-0.026,0.23742982715429123,22.679726629745918,25.71575392633866
5,0.16,0.98,-0.025,0.386,0.214,-0.017,-0.012,0.2351270434733881,20.24845673131663,25.012796724876647
6,0.2,0.98,-0.027,0.392,0.227,-0.021,-0.01,0.23898683830203823,18.560711193270585,25.116130275183625
7,0.24,0.98,-0.022,0.368,0.203,-0.02,-0.009,0.24856811117291638,21.50279051658189,23.910248848558506
8,0.28,0.98,-0.012,0.54,0.17,-0.014,-0.02,0.16911254192955644,18.12236187697389,22.426992665090076
9,0.32,0.98,-0.06,0.557,0.19,-0.023,-0.013,0.17895774398420639,16.26038129934232,20.435263639111774
10,0.36,0.98,-0.031,0.523,0.141,-0.014,-0.02,0.15642718306121992,18.36137249771918,20.928927349484585
11,0.4,0.98,-0.021,0.484,0.144,-0.005,-0.028,0.16958632839382004,18.732325002519083,20.587860500790267
12,0.44,0.98,0.028,0.443,0.16,-0.014,-0.018,0.18347887500500026,18.7130970178643,21.13669794457024
13,0.48,0.98,0.031,0.453,0.148,-0.016,-0.044,0.19744118592326382,19.004210059878837,21.0535032714273
14,0.52,0.98,0.063,0.398,0.132,-0.019,-0.048,0.21572502264922344,18.30437106267239,21.85863673699707
15,0.56,0.98,0.053,0.451,0.164,-0.008,-0.044,0.19830172258334347,17.704519197086192,21.46741717114576
16,0.6,0.98,0.067,0.459,0.184,-0.021,-0.029,0.17639937905120517,17.906981878585885,20.3415830259102
17,0.64,0.98,0.069,0.436,0.165,-0.01,-0.037,0.18908225866379613,18.409780009549362,20.171762441591373
18,0.68,0.98,0.073,0.461,0.183,-0.021,-0.027,0.1870648902323916,18.300273222004044,19.682479518597155
19,0.72,0.98,0.079,0.422,0.154,-0.023,-0.048,0.2014398740860483,18.601075237738183,20.7617436647311
20,0.76,0.98,0.077,0.419,0.154,-0.02,-0.057,0.2171863050790958,19.21275617916393,20.82402458700065
21,0.8,0.98,0.067,0.42,0.165,-0.006,-0.048,0.19943370415728862,19.60229578391257,20.554804791094465
22,0.84,0.98,0.052,0.456,0.189,-0.021,-0.033,0.1921536559646687,18.645374761586456,20.27140843651476
23,0.88,0.98,0.03,0.514,0.161,-0.016,-0.038,0.19779586809831845,19.25097400133307,24.266849816158707
24,0.92,0.98,-0.016,0.528,0.166,-0.02,-0.041,0.18043257631059312,18.64537476158623,22.978685776171012
25,0.96,0.98,0.001,0.525,0.16,-0.014,-0.043,0.1697692596238925,19.021303845951252,20.740781084616668
26,1.0,0.98,-0.007,0.436,0.168,-0.015,-0.028,0.185550142462981,17.904468715937792,20.687435800504755
27,1.04,0.98,0.001,0.405,0.185,-0.022,-0.024,0.2040990119783827,19.406442229321776,19.54328529188478
28,1.08,0.98,-0.019,0.407,0.17,-0.007,-0.037,0.19086926036568244,20.900956915892497,20.515603817582363
29,1.12,0.98,0.001,0.382,0.176,-0.016,-0.024,0.2000877904635043,21.8146739604331,22.303587155433046
30,1.16,0.98,-0.008,0.393,0.181,-0.015,-0.026,0.19803236706293784,22.437691503361126,22.610838109189935
31,1.2,0.98,-0.003,0.389,0.179,-0.02,-0.024,0.2027242318321324,22.472205054244093,23.800840321299535
32,1.24,0.98,-0.004,0.367,0.161,-0.006,-0.036,0.21381571045255532,22.181523843054514,23.800840321299763
33,1.28,0.98,-0.004,0.364,0.177,-0.019,-0.026,0.20614198447716708,20.7781134851074,23.60084744241203
34,1.32,0.98,-0.007,0.371,0.175,-0.01,-0.04,0.20704889351648423,21.575217264259475,23.903347045968363
35,1.36,0.98,-0.001,0.372,0.184,-0.021,-0.026,0.22084389998330603,20.88659857420538,22.903493183355334
36,1.4,0.98,-0.009,0.364,0.164,-0.011,-0.035,0.22330396169087094,21.545533179756863,23.910248848558506
37,1.44,0.98,-0.001,0.357,0.184,-0.014,-0.027,0.21738506079963787,19.872845795205027,23.60762588656484
38,1.48,0.98,-0.008,0.364,0.184,-0.02,-0.021,0.23004434183568911,20.23116407921219,22.105655384991326
39,1.52,0.98,0.008,0.351,0.17,-0.011,-0.033,0.23894871264290368,20.62862089428181,22.907858913482162
40,1.56,0.98,-0.007,0.362,0.185,-0.018,-0.022,0.23356558853348958,20.109947787102783,22.211033294288722
41,1.6,0.98,-0.006,0.369,0.19,-0.02,-0.02,0.23933068286583992,20.23116407921219,22.105655384991554
42,1.64,0.98,-0.007,0.353,0.17,-0.005,-0.03,0.2320701134232509,20.199257412093058,23.007824755939012
43,1.68,0.98,-0.008,0.369,0.187,-0.011,-0.02,0.2319365635810284,20.87773934122174,22.00363606316011
44,1.72,0.98,-0.001,0.386,0.196,-0.01,-0.02,0.2427971765231154,21.335416564951156,22.40357114390458
45,1.76,0.98,-0.005,0.381,0.195,-0.01,-0.02,0.2417019352468533,20.89593261857454,23.200215516240405
46,1.8,0.98,-0.003,0.397,0.181,-0.001,-0.016,0.1976003740581691,20.640978658968578,23.60084744241203
47,1.84,0.98,-0.046,0.4,0.165,0.0,-0.011,0.2270846359437379,20.71545316907168,23.003477997902838
48,1.88,0.98,-0.033,0.422,0.174,0.006,-0.014,0.18539391022374363,21.11516043036391,21.403737991294747
49,1.92,0.98,-0.047,0.404,0.164,0.001,-0.012,0.22494941140333718,21.123683390923947,21.708293346092457
50,1.96,0.98,-0.037,0.42,0.171,0.005,-0.014,0.21386578087583233,20.908610666421712,22.517992805754247
51,2.0,0.98,-0.03,0.417,0.167,0.0,-0.011,0.23379757217712568,20.62934802653725,21.711287386979198
52,2.04,0.98,-0.03,0.423,0.169,-0.001,-0.008,0.21990176731008648,20.819462048765768,22.302017845925917
53,2.08,0.98,-0.031,0.408,0.171,0.001,-0.008,0.2309068179360762,20.90598000573051,22.005681084665387
54,2.12,0.98,-0.033,0.4,0.167,0.003,-0.005,0.22725738873340395,20.900956915892497,23.31051264987533
55,2.16,0.98,-0.037,0.401,0.169,0.002,-0.005,0.2378630182969593,21.14000946073573,23.005434140654682
56,2.2,0.98,-0.049,0.42,0.176,0.0,-0.005,0.2106190408954246,18.401086924418443,21.246176126541027
57,2.24,0.98,0.01,0.55,0.156,-0.004,-0.0,0.15275135799459438,16.835973390333155,21.31501817967787
58,2.28,0.98,-0.015,0.544,0.165,-0.009,-0.0,0.1589799237367679,17.50342823563416,19.736514383244113
59,2.32,0.98,0.003,0.532,0.147,-0.001,0.003,0.16328916239021438,18.417383093154232,22.238030488332413
60,2.36,0.98,-0.017,0.452,0.154,-0.0,0.004,0.17585512717112975,19.43707796969502,20.072119967756272
61,2.4,0.98,-0.024,0.46,0.159,0.007,0.003,0.1872133023613758,19.431160541769078,19.57396229688818
62,2.44,0.98,-0.0,0.445,0.163,0.002,0.005,0.19906133021712819,19.90100499974822,19.964217991196016
63,2.48,0.98,0.007,0.461,0.173,0.003,0.001,0.1875069206626896,19.10235587565066,19.358202395883723
64,2.52,0.98,-0.012,0.436,0.166,0.005,-0.0,0.17799075452963015,19.32097306038177,19.749683541768505
65,2.56,0.98,-0.008,0.43,0.173,0.003,-0.003,0.18918828040363908,18.809572031282325,20.135789033459712
66,2.6,0.98,-0.005,0.427,0.167,0.004,-0.004,0.19309508684857446,18.904232330354052,20.71545316907168
67,2.64,0.98,-0.004,0.43,0.166,0.004,-0.006,0.19937404259413832,19.401030900444532,21.02379604162864
68,2.68,0.98,-0.008,0.428,0.162,0.001,-0.007,0.2011029602384919,18.900264548412935,20.91530540059108
69,2.72,0.98,-0.018,0.423,0.162,0.002,-0.01,0.2052520031931825,18.699999999999818,21.328384842739453
70,2.76,0.98,-0.016,0.419,0.151,-0.001,-0.007,0.2058655468402773,19.0,21.53346233191495
71,2.8,0.98,-0.031,0.426,0.146,-0.001,-0.006,0.16904967591013953,18.700000000000045,21.528121144215067
72,2.84,0.98,-0.017,0.381,0.161,-0.001,-0.01,0.1989092980131708,21.60208323287354,23.10346294389644
73,2.88,0.98,-0.01,0.35,0.154,-0.003,-0.009,0.23328800990975126,22.23803048833219,23.900836805434103
74,2.92,0.98,-0.011,0.343,0.152,-0.007,-0.005,0.24135186304136524,21.944703233354605,23.799999999999955
75,2.96,0.98,-0.015,0.335,0.145,-0.01,-0.002,0.24136888904223602,21.75178153623266,23.501914815605982
76,3.0,0.98,-0.029,0.355,0.159,-0.019,0.002,0.22631830267656217,22.13820227570423,23.80189068120425
77,3.04,0.98,-0.007,0.356,0.15,-0.018,-0.031,0.23588989816763875,21.811235636708158,25.219833464953773
78,3.08,0.98,-0.021,0.345,0.149,-0.015,-0.01,0.22967180466638465,21.822923727126895,24.000833318866242
79,3.12,0.98,-0.012,0.34,0.147,-0.011,-0.018,0.24349299125532553,21.938550544646382,25.60488234692742
80,3.16,0.98,-0.011,0.339,0.13,-0.015,-0.028,0.24287786973811307,22.01454064930722,25.50960603380617
81,3.2,0.98,-0.0,0.321,0.13,-0.01,-0.022,0.24701876683033797,21.965882636488885,25.212695214911122
82,3.24,0.98,-0.003,0.326,0.131,-0.031,-0.013,0.2704696979788359,22.11831820008013,24.520399670478458
83,3.28,0.98,-0.023,0.337,0.137,-0.007,-0.022,0.24144642497363053,22.044500447957535,24.928898892650768
84,3.32,0.98,-0.025,0.338,0.14,-0.018,-0.008,0.23723527681817083,22.205629916757644,23.713498265755547
85,3.36,0.98,-0.027,0.335,0.126,-0.007,-0.02,0.2279385723352187,22.32711356176629,24.724481794367343
86,3.4,0.98,-0.022,0.332,0.14,-0.013,-0.01,0.2379691462233381,22.218235753542444,23.81701072762906
87,3.44,0.98,-0.022,0.341,0.128,-0.004,-0.02,0.2345731956746539,22.43211982849579,24.324884377936883
88,3.48,0.98,-0.028,0.349,0.152,-0.014,-0.013,0.24065081480071074,21.22357180118375,23.621176939348437
89,3.52,0.98,-0.02,0.391,0.151,-0.019,-0.008,0.2160574357661748,19.209372712298592,19.956452590578408
90,3.56,0.98,-0.005,0.526,0.135,-0.012,-0.024,0.16484181906141343,15.970597985047489,21.47556751287388
