frame,timestamp,confidence,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,EAR,Pupil_Scale (Left),Pupil_Scale (Right)
5,0.167,0.98,0.01,0.244,-0.003,0.112,-0.01,0.17484175979606248,29.743738836938434,27.52199120703297
9,0.333,0.98,-0.135,0.42,-0.032,0.103,-0.013,0.09578532352752718,29.701515112869284,25.001799935204662
12,0.458,0.98,-0.114,0.367,-0.066,0.108,-0.018,0.1259408478510174,28.734126052483358,21.215088969881833
13,0.5,0.98,-0.103,0.331,-0.054,0.115,-0.01,0.11583428287907437,21.639085008382537,19.773214205080617
14,0.542,0.98,-0.067,0.327,-0.08,0.107,-0.002,0.12207270720168781,24.01686907155052,20.241788458533055
15,0.583,0.98,-0.047,0.322,-0.062,0.111,-0.004,0.12940145904471645,23.042569301186877,20.403921191770934
16,0.625,0.98,-0.04,0.321,-0.06,0.111,0.002,0.1208625081776721,22.700220263248593,20.702173798903384
17,0.667,0.98,-0.062,0.332,-0.039,0.109,0.008,0.12088399824586923,24.500204080782673,20.40612653102013
18,0.708,0.98,-0.069,0.351,-0.014,0.109,0.015,0.10660700397334076,26.100766272276285,20.30024630392456
19,0.75,0.98,-0.075,0.367,-0.003,0.105,0.026,0.11521633844151272,24.20082643216967,20.300985197768068
20,0.792,0.98,-0.072,0.387,0.019,0.097,0.036,0.12202977320898922,23.503404008781366,19.912307751739853
21,0.833,0.98,-0.07,0.396,0.028,0.089,0.046,0.12903306875666726,23.11384866265235,20.400245096566717
22,0.875,0.98,-0.082,0.426,0.064,0.093,0.044,0.12533172092887207,23.617154782064574,20.600242717016847
23,0.917,0.98,-0.074,0.428,0.073,0.08,0.056,0.12921807911782607,22.510886255321,20.50219500443794
24,0.958,0.98,-0.078,0.441,0.09,0.068,0.062,0.13677312057369012,22.414281161795135,20.108953229842804
25,1.0,0.98,-0.036,0.439,0.097,0.05,0.073,0.15870869821348066,22.910696191953754,20.10895322984258
26,1.042,0.98,-0.032,0.431,0.115,0.041,0.074,0.21681238067918362,24.31008021377136,20.500243900988107
27,1.083,0.98,-0.013,0.428,0.116,0.032,0.076,0.22337436653568837,24.700000000000045,20.90000000000009
28,1.125,0.98,-0.025,0.434,0.123,0.025,0.077,0.21824231365175034,24.900200802403273,21.2058954067024
29,1.167,0.98,-0.03,0.431,0.136,0.022,0.077,0.2139652979278345,23.90334704596836,20.808652046684763
30,1.208,0.98,-0.033,0.422,0.144,0.008,0.086,0.20420413521428787,24.299999999999955,20.106217943710757
31,1.25,0.98,-0.021,0.435,0.19,-0.013,0.08,0.24475074416356665,25.500784301664133,20.006249023742555
32,1.292,0.98,-0.033,0.418,0.166,0.003,0.079,0.2273738004581973,24.40081965836403,20.303940504246906
33,1.333,0.98,-0.047,0.379,0.165,-0.001,0.09,0.19672472654812848,25.10019920239669,18.71710447692168
34,1.375,0.98,-0.036,0.416,0.167,-0.003,0.079,0.22773542994577317,23.90083680543433,18.813027401245083
35,1.417,0.98,-0.06,0.401,0.131,0.023,0.075,0.2069418221744308,23.400213674237968,17.804493814765035
36,1.458,0.98,-0.045,0.385,0.132,0.018,0.085,0.22154139879866597,23.70527367485982,17.60454486773222
37,1.5,0.98,-0.039,0.5,0.165,0.029,0.083,0.21311231508694609,18.12760326132489,19.942417105255682
38,1.542,0.98,-0.177,0.593,0.152,0.033,0.081,0.11697659372713987,19.981241202687947,25.81937257177249
39,1.583,0.98,-0.201,0.619,0.154,0.082,0.079,0.11474187162459143,19.782062582046443,22.50799857828323
40,1.625,0.98,-0.237,0.58,0.154,0.136,0.073,0.1012814484103058,23.57668339694962,23.730360300678157
41,1.667,0.98,-0.286,0.46,0.157,0.183,0.056,0.15706591366010958,22.17746604100657,20.861447696648423
42,1.708,0.98,-0.263,0.468,0.178,0.252,0.035,0.16558110718274213,19.742846805868744,24.091699815496614
43,1.75,0.98,-0.321,0.441,0.176,0.283,0.035,0.13206145816981532,19.28419041598588,21.224985276791156
44,1.792,0.98,-0.348,0.441,0.173,0.308,0.025,0.16138580454740403,19.712178976460113,20.407106605297997
45,1.833,0.98,-0.36,0.453,0.182,0.323,0.013,0.15564889756892908,17.414074767268087,18.978935691971728
46,1.875,0.98,-0.333,0.47,0.194,0.337,-0.002,0.17265851156908563,19.28419041598589,18.271836251455436
47,1.917,0.98,-0.298,0.47,0.172,0.331,0.0,0.11297908798518354,23.01586409414173,18.298907071188747
48,1.958,0.98,-0.299,0.526,0.195,0.328,-0.01,0.14284774695217592,27.894981627525723,21.708293346092344
49,2.0,0.98,-0.263,0.526,0.206,0.309,-0.025,0.14981574935886224,29.306825143641927,22.372527796384627
50,2.042,0.98,-0.243,0.547,0.222,0.291,-0.039,0.1707499400264543,21.920994502987273,21.80825531765432
51,2.083,0.98,-0.182,0.572,0.223,0.234,-0.042,0.13716568475442126,20.500243900988107,21.514878572745882
52,2.125,0.98,-0.095,0.554,0.207,0.188,-0.048,0.17064637065212848,23.10541062175711,21.413313615599005
53,2.167,0.98,-0.096,0.531,0.193,0.155,-0.063,0.1697589170017746,25.21983346495355,20.662042493422593
54,2.208,0.98,-0.057,0.579,0.254,0.155,-0.08,0.18113151706410813,21.13409567499864,21.423351745233493
55,2.25,0.98,-0.038,0.553,0.262,0.143,-0.083,0.17166562461422263,22.222511109233402,19.409276132818533
