frame,timestamp,confidence,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,EAR,Pupil_Scale (Left),Pupil_Scale (Right)
1,0.0,0.88,0.273,0.381,0.185,-0.465,0.035,0.3002455185434358,10.357605900979278,22.231509170544395
2,0.04,0.88,0.282,0.392,0.174,-0.464,0.004,0.2909271152356581,10.080674580602318,22.391292950609067
3,0.08,0.88,0.313,0.379,0.153,-0.469,-0.019,0.28716200209774617,10.357605900979278,22.360679774997898
4,0.12,0.88,0.343,0.372,0.144,-0.471,-0.03,0.2763671142321372,11.853269591129738,21.30633708547763
5,0.16,0.88,0.331,0.38,0.16,-0.492,-0.033,0.28687897756003194,11.783462988442786,20.715211801958574
6,0.2,0.88,0.349,0.391,0.173,-0.496,-0.036,0.3011589004210513,10.846197490364954,20.419843290289876
7,0.24,0.88,0.361,0.401,0.187,-0.491,-0.04,0.3074478963310887,10.60754448494103,19.53176899310461
8,0.28,0.88,0.351,0.416,0.196,-0.485,-0.043,0.3049208522692424,10.017983829094556,20.407106605297997
9,0.32,0.88,0.332,0.435,0.205,-0.485,-0.041,0.2920063066458683,9.625487000666652,21.833231551925603
10,0.36,0.88,0.333,0.451,0.204,-0.488,-0.043,0.297795581391013,9.453041838477043,22.48999777678951
11,0.4,0.98,0.33,0.439,0.217,-0.47,-0.045,0.3013610648569703,8.93588272080614,23.98707985562231
12,0.44,0.98,0.358,0.512,0.278,-0.457,-0.001,0.18632507739438398,11.187939935484009,21.639085008382413
13,0.48,0.98,0.39,0.523,0.292,-0.457,0.011,0.1787258441098835,11.56243918902927,18.582787734890566
14,0.52,0.98,0.336,0.527,0.296,-0.448,0.018,0.1856759390673115,12.865846260545737,22.366045694310785
15,0.56,0.93,0.359,0.544,0.289,-0.455,0.034,0.27545841015989936,13.064838307457164,21.99659064491589
16,0.6,0.88,0.338,0.534,0.3,-0.448,0.047,0.26215431288692237,12.419742348374086,21.397429752192146
17,0.64,0.88,0.339,0.552,0.321,-0.437,0.062,0.26350427175436214,11.920570456148567,21.52045538551641
18,0.68,0.88,0.354,0.571,0.332,-0.437,0.077,0.26980299116872986,12.041594578792296,23.56140912594158
19,0.72,0.88,0.34,0.515,0.333,-0.441,0.091,0.2736010808136352,16.102794788483056,21.040199618824797
20,0.76,0.93,0.308,0.475,0.33,-0.447,0.095,0.26555951089423724,15.402921800749228,22.826519664635644
21,0.8,0.98,0.317,0.497,0.33,-0.433,0.092,0.24851290595038483,13.960659010233092,25.470963860835603
22,0.84,0.98,0.289,0.451,0.331,-0.44,0.101,0.2746625091137521,14.117365193264552,25.84956479324164
23,0.88,0.93,0.321,0.459,0.319,-0.461,0.096,0.38939030222453785,8.438009243891466,17.8404035828789
24,0.92,0.93,0.354,0.461,0.27,-0.465,0.073,0.34848263322768436,12.106196760337248,18.777113729218392
25,0.96,0.93,0.39,0.452,0.28,-0.474,0.065,0.3423561345664961,10.160708636704442,19.13661412058034
26,1.0,0.93,0.375,0.456,0.266,-0.477,0.058,0.3870627844472333,11.115754585272207,20.61188977265289
27,1.04,0.93,0.358,0.426,0.271,-0.486,0.058,0.3864210838403669,11.886967653695418,18.552627846210946
28,1.08,0.93,0.328,0.387,0.268,-0.484,0.051,0.3278932149726938,11.723907198541077,18.77578227398256
29,1.12,0.88,0.358,0.406,0.262,-0.494,0.048,0.36436522728610266,10.19656805008445,17.083617883809065
30,1.16,0.88,0.313,0.382,0.27,-0.502,0.047,0.3317386346811619,11.130588483993098,20.08780724718368
31,1.2,0.88,0.332,0.386,0.274,-0.514,0.045,0.3575471345921092,11.10180165558726,18.631693428134938
32,1.24,0.93,0.36,0.429,0.285,-0.531,0.043,0.3719995669666515,9.386160024206001,18.866372200293124
34,1.32,0.93,0.306,0.386,0.274,-0.499,0.026,0.3350004353260418,8.920201791439567,19.547378340841473
35,1.36,0.93,0.333,0.374,0.263,-0.51,0.028,0.35861539571412115,11.002726934719501,18.30027322200399
36,1.4,0.88,0.34,0.378,0.264,-0.504,0.025,0.34969162795077624,9.334345183246604,17.298554852934977
37,1.44,0.88,0.336,0.376,0.27,-0.502,0.022,0.3408261397286071,9.108786966440615,16.654428840401668
38,1.48,0.88,0.319,0.367,0.267,-0.515,0.022,0.3372255463709112,8.714355971613783,20.025983121934317
39,1.52,0.93,0.343,0.395,0.273,-0.506,0.018,0.31406375647561713,8.130190649671269,17.149344010777828
40,1.56,0.93,0.34,0.397,0.281,-0.522,0.017,0.3530901635048239,8.827797007181308,17.513708916160542
41,1.6,0.93,0.35,0.401,0.271,-0.502,0.01,0.3137969038705972,9.319334740205615,17.973869922751867
42,1.64,0.93,0.341,0.414,0.278,-0.509,0.009,0.3415236395249741,9.013878188659973,16.87157372624147
43,1.68,0.88,0.38,0.454,0.27,-0.515,0.008,0.3192777569028837,9.027181176868007,16.985287751463076
44,1.72,0.98,0.351,0.419,0.279,-0.517,0.007,0.347151949615754,8.814193099768305,17.65672676347457
45,1.76,0.93,0.367,0.412,0.27,-0.511,0.006,0.3276837127237806,8.509406559801922,16.63881005360649
46,1.8,0.93,0.352,0.425,0.28,-0.518,0.011,0.3550464511190152,8.70517087712819,16.709278859364435
47,1.84,0.88,0.361,0.421,0.272,-0.521,0.01,0.3390597593536307,9.12688336728384,16.769317219254912
48,1.88,0.88,0.369,0.432,0.27,-0.511,0.008,0.31962663575467304,10.57213318115137,16.826764394856294
49,1.92,0.88,0.376,0.421,0.28,-0.521,0.01,0.3438067289867054,8.927485648266117,17.39683879329808
50,1.96,0.88,0.337,0.419,0.269,-0.521,0.014,0.33445591607375097,10.59056183589907,16.493938280471454
51,2.0,0.88,0.342,0.401,0.27,-0.533,0.018,0.33210134746118414,8.836288813749759,16.826764394856202
52,2.04,0.88,0.331,0.414,0.266,-0.53,0.015,0.35348640708897844,9.144397191723384,22.397321268401615
53,2.08,0.88,0.322,0.411,0.275,-0.537,0.019,0.3417953490474612,9.847842403288176,21.555741694499794
54,2.12,0.88,0.348,0.442,0.269,-0.544,0.021,0.39963049967289677,9.144397191723598,20.241047403728853
55,2.16,0.88,0.344,0.414,0.268,-0.538,0.019,0.33200711869996713,9.95037687728469,20.026232796010365
56,2.2,0.88,0.363,0.415,0.276,-0.538,0.021,0.35173610531912647,8.927485648266126,16.57377446449666
57,2.24,0.98,0.347,0.392,0.279,-0.532,0.017,0.3377234529003056,9.464142856064766,16.944615663980123
