frame,timestamp,confidence,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,EAR,Pupil_Scale (Left),Pupil_Scale (Right)
2,0.04,0.88,-0.357,0.338,0.172,0.292,0.058,0.2228482754198009,25.832731175777706,26.662708039507212
3,0.08,0.82,-0.355,0.342,0.186,0.304,0.056,0.19657771897191142,27.155294143131645,26.373471519691897
4,0.12,0.82,-0.369,0.348,0.197,0.309,0.057,0.18945114971526844,26.06184951226587,24.06595105122596
5,0.16,0.82,-0.365,0.343,0.208,0.308,0.058,0.19351721178194708,27.027578507887043,26.630058204968396
6,0.2,0.82,-0.365,0.347,0.211,0.305,0.061,0.1910190358056649,27.423530042647638,27.228110474287277
7,0.24,0.88,-0.353,0.314,0.209,0.302,0.065,0.17241419322411294,27.288275870783902,27.095756125268004
8,0.28,0.88,-0.358,0.295,0.209,0.296,0.072,0.1849357916152654,29.347061181658507,26.089269824968305
9,0.32,0.88,-0.352,0.299,0.204,0.293,0.079,0.19092221453387082,27.002407300090805,26.2488094968133
10,0.36,0.88,-0.346,0.303,0.21,0.284,0.085,0.20181848687930884,26.474138324032435,26.126614782631037
11,0.4,0.88,-0.348,0.296,0.212,0.277,0.09,0.21396125748546146,26.474138324032417,25.84434174050502
12,0.44,0.88,-0.341,0.311,0.23,0.269,0.09,0.2121624923522571,26.1396250929503,26.322993750711362
13,0.48,0.88,-0.342,0.341,0.245,0.26,0.089,0.2153655495471333,25.021790503479206,26.896096371034993
14,0.52,0.88,-0.336,0.316,0.253,0.256,0.088,0.20735778466597882,25.838150088580168,26.09310253687737
15,0.56,0.88,-0.342,0.354,0.276,0.247,0.088,0.21622228813885536,25.156311335328947,26.97572983257356
16,0.6,0.88,-0.335,0.431,0.315,0.229,0.092,0.17426553643969817,20.905980005730424,17.147886167105383
17,0.64,0.88,-0.319,0.457,0.407,0.184,0.094,0.17731856915124689,19.752468200202216,24.792942544199946
18,0.68,0.88,-0.334,0.395,0.475,0.156,0.096,0.16073307882747356,15.559562975867978,18.50837648201493
699,27.92,0.98,0.126,0.35,0.297,-0.268,0.173,0.33823747943215554,15.273833834371821,19.90401969452411
700,27.96,0.88,0.118,0.369,0.383,-0.308,0.188,0.37137981640922024,9.91816515288979,17.833956375409198
702,28.04,0.88,0.055,0.402,0.438,-0.282,0.153,0.3948663363739896,13.218547575282056,16.83597339033293
703,28.08,0.88,0.056,0.43,0.471,-0.267,0.123,0.3875644680938868,12.601983970788094,16.966437457521927
704,28.12,0.88,0.068,0.45,0.487,-0.265,0.107,0.3540767027385022,11.31591799192616,16.807736313971652
705,28.16,0.98,0.017,0.457,0.487,-0.255,0.088,0.325174181015212,11.552056094046586,19.18462926407483
826,33.0,0.93,0.316,0.319,0.3,-0.362,0.192,0.3681065592739435,12.149897118906114,20.429635336931472
827,33.04,0.93,0.231,0.368,0.315,-0.321,0.209,0.37263069378607444,22.921823662178227,22.80087717610877
828,33.08,0.93,0.208,0.362,0.318,-0.307,0.225,0.3713881803272123,21.982265579325404,20.903827400741687
829,33.12,0.98,0.183,0.31,0.326,-0.286,0.24,0.32067484959494774,14.727525250360337,20.934421415458417
830,33.16,0.98,0.173,0.314,0.345,-0.258,0.251,0.3221557386081234,15.715597347858003,20.5
831,33.2,0.98,0.135,0.283,0.338,-0.236,0.262,0.3655577833246555,14.428097587693347,21.903652663425774
832,33.24,0.98,0.12,0.281,0.323,-0.209,0.261,0.3556092623411117,17.265283084849827,22.165288177689032
833,33.28,0.98,0.105,0.272,0.311,-0.186,0.261,0.3752709192157744,18.531055015837474,21.79197099851232
834,33.32,0.98,0.09,0.264,0.306,-0.164,0.26,0.3778997867830285,18.469975636150643,21.48418022638981
835,33.36,0.98,0.09,0.27,0.306,-0.163,0.263,0.3698581779277204,20.238824076511957,21.10473880435386
836,33.4,0.98,0.1,0.325,0.315,-0.173,0.27,0.33350481902442297,15.255490814785311,17.129214809792185
837,33.44,0.98,0.126,0.374,0.339,-0.189,0.285,0.3046020557554354,12.21228889275044,17.205231762461224
838,33.48,0.98,0.147,0.408,0.333,-0.208,0.293,0.2366650153481541,10.770329614269084,17.40402252354318
839,33.52,0.98,0.144,0.306,0.329,-0.24,0.303,0.33824102544099544,11.512167476196595,16.013119621110786
840,33.56,0.98,0.137,0.317,0.333,-0.277,0.318,0.28853046408132743,13.572398461583708,16.28895331198422
841,33.6,0.98,0.163,0.327,0.338,-0.304,0.329,0.3419540894965961,11.498260738041992,16.26038129934232
842,33.64,0.98,0.128,0.324,0.34,-0.319,0.331,0.3677847468425451,14.481022063376505,15.871042813879804
843,33.68,0.98,0.173,0.351,0.343,-0.328,0.335,0.3456681295095361,14.49999999999987,17.08478855590552
844,33.72,0.98,0.186,0.37,0.362,-0.335,0.338,0.3644552100395484,14.764823060233319,18.199450541156363
845,33.76,0.98,0.186,0.381,0.374,-0.337,0.34,0.33180717736704524,12.814054783713033,17.383325343558365
846,33.8,0.98,0.166,0.381,0.383,-0.341,0.345,0.3198743712159783,11.88276062201031,17.095028517086487
847,33.84,0.98,0.191,0.36,0.394,-0.337,0.346,0.35257295173882214,10.811567878897076,16.676930173146285
848,33.88,0.98,0.2,0.395,0.397,-0.33,0.342,0.35167030631341284,11.710678887237966,17.21656179380764
849,33.92,0.98,0.197,0.442,0.398,-0.324,0.339,0.3160105179845294,12.731849826321442,17.228464818433388
850,33.96,0.98,0.17,0.45,0.389,-0.318,0.342,0.31958704493186574,13.43726162579275,16.53390456002461
851,34.0,0.98,0.137,0.418,0.387,-0.304,0.337,0.3510247087814949,14.159802258506428,16.348700254148454
852,34.04,0.93,0.136,0.4,0.381,-0.3,0.334,0.34767135797863624,11.104053313992956,15.146286673637194
853,34.08,0.88,0.081,0.284,0.383,-0.298,0.336,0.30553673062754316,11.244554237496523,16.50605949341025
854,34.12,0.88,0.106,0.313,0.382,-0.31,0.344,0.3247130710669668,8.200000000000045,15.897798589741734
855,34.16,0.88,0.128,0.308,0.383,-0.309,0.351,0.3345369195757707,6.906518659932665,15.733403954643771
856,34.2,0.88,0.085,0.324,0.379,-0.315,0.361,0.3380956015711667,9.504735661763563,15.316984037335814
857,34.24,0.88,0.089,0.312,0.372,-0.313,0.368,0.3356318750002336,9.254188241007466,15.044268011438582
858,34.28,0.88,0.139,0.296,0.368,-0.314,0.372,0.39079507318341045,8.215229759416394,14.807092894960848
860,34.36,0.88,0.086,0.34,0.376,-0.294,0.375,0.38046648280229384,13.579396157414443,13.82931668593933
861,34.4,0.88,0.085,0.331,0.383,-0.292,0.38,0.36810575043991556,11.524755962709033,13.82931668593933
