frame,timestamp,confidence,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,EAR,Pupil_Scale (Left),Pupil_Scale (Right)
1,0.0,0.98,0.12,0.154,0.05,-0.142,0.036,0.2935460077941882,18.57794391206949,21.239821091525158
2,0.04,0.98,0.093,0.182,0.069,-0.146,0.043,0.2947729900420577,18.210161998181263,15.50129026887762
3,0.08,0.98,0.107,0.174,0.075,-0.149,0.048,0.2897986172205466,18.03468879687129,20.61965082148582
4,0.12,0.98,0.096,0.175,0.065,-0.161,0.058,0.29796988428648524,18.81754500459593,15.005332385522154
5,0.16,0.98,0.151,0.141,0.068,-0.177,0.034,0.3352650122526527,19.28419041598588,20.148697228356994
6,0.2,0.98,0.136,0.173,0.082,-0.165,0.048,0.29484731345112947,18.298907071188747,22.13820227570434
7,0.24,0.98,0.14,0.195,0.088,-0.168,0.067,0.2924885719946664,18.68689380287683,21.459729728027774
8,0.28,0.98,0.145,0.193,0.1,-0.166,0.055,0.2924454840589916,18.80664776083185,21.851544567833255
9,0.32,0.98,0.142,0.206,0.109,-0.169,0.071,0.2933859913847917,18.98552079875595,21.35275157912905
10,0.36,0.98,0.141,0.199,0.108,-0.168,0.056,0.29232955222023316,18.618807695446023,21.932852071721182
11,0.4,0.98,0.138,0.21,0.107,-0.169,0.066,0.29025000242052124,18.796276226954983,21.42825237857719
12,0.44,0.98,0.132,0.205,0.102,-0.164,0.055,0.2918821244179476,18.82896704548611,21.228518554058404
13,0.48,0.98,0.123,0.196,0.093,-0.164,0.064,0.29215752070297246,19.0276115158996,20.734753434753017
14,0.52,0.98,0.132,0.198,0.094,-0.166,0.063,0.2976208417620684,19.93313823761823,20.447982785595233
15,0.56,0.98,0.13,0.187,0.075,-0.166,0.061,0.2899164408790641,19.712178976460123,20.84706214314138
16,0.6,0.98,0.135,0.201,0.077,-0.174,0.061,0.2944733193869582,20.010497245196174,19.801262586006917
17,0.64,0.98,0.131,0.202,0.073,-0.169,0.048,0.2907742483867995,19.43656348226193,19.84943324127916
18,0.68,0.98,0.126,0.172,0.071,-0.197,0.058,0.3530937465341931,19.99049774267751,19.262917743685687
19,0.72,0.98,0.136,0.171,0.075,-0.186,0.048,0.34543717978651645,20.242776489404715,20.271408436514765
20,0.76,0.98,0.139,0.162,0.058,-0.183,0.04,0.3486783808496642,20.02123872291608,19.643064933965906
21,0.8,0.98,0.141,0.162,0.059,-0.181,0.036,0.35123034362398114,19.811612756158986,19.358202395883723
22,0.84,0.98,0.14,0.158,0.045,-0.18,0.033,0.34490499343962455,19.691876497682916,19.990497742677732
23,0.88,0.98,0.141,0.143,0.034,-0.174,0.029,0.3458572794902802,19.900753754569152,20.254875956174132
24,0.92,0.98,0.133,0.246,0.039,-0.189,0.046,0.26689988767328243,19.53100099841275,22.93141949378634
25,0.96,0.98,0.11,0.264,0.053,-0.178,0.036,0.3255707251847984,22.32935287911412,22.472205054244213
26,1.0,0.98,0.093,0.264,0.059,-0.171,0.037,0.3136165054079726,21.701843239688102,19.734487578855465
27,1.04,0.98,0.095,0.256,0.046,-0.177,0.051,0.29345705194154215,21.79197099851232,21.82773465112672
28,1.08,0.98,0.112,0.263,0.046,-0.18,0.043,0.3135519161744913,21.294130646729908,21.33963448609179
29,1.12,0.98,0.097,0.271,0.035,-0.163,0.033,0.257509641942882,21.843534512528002,22.21823575354267
30,1.16,0.98,0.094,0.246,0.028,-0.188,0.046,0.2832135381202959,20.778113485107404,21.714741536569157
31,1.2,0.98,0.144,0.276,0.035,-0.173,0.03,0.2585606488823433,19.557607215607945,20.00399960007998
32,1.24,0.98,0.187,0.251,0.017,-0.164,0.032,0.2529131036978369,17.64086165695986,19.904019694523996
33,1.28,0.98,0.179,0.24,0.006,-0.178,0.043,0.2572977040150247,18.926436537288122,20.81177551291583
34,1.32,0.98,0.185,0.26,0.022,-0.17,0.021,0.2590527765172205,18.96760396043748,21.914607000811102
35,1.36,0.98,0.162,0.239,-0.016,-0.156,0.037,0.2462597553616607,19.37472580451135,21.005951537600005
36,1.4,0.98,0.144,0.198,-0.022,-0.149,0.033,0.2586225201462765,18.30682932678399,19.206509313251114
37,1.44,0.98,0.135,0.134,-0.016,-0.149,0.025,0.3370168158453077,17.85497129653247,16.200308639035292
38,1.48,0.98,0.14,0.14,-0.001,-0.144,0.024,0.2954254205868596,17.564168070250297,18.16204834262922
39,1.52,0.98,0.117,0.131,0.004,-0.148,0.029,0.2992192647633942,18.062391868188442,16.215116404145896
40,1.56,0.98,0.119,0.127,0.009,-0.149,0.024,0.3059516007356089,18.49783771147307,15.925451327984373
41,1.6,0.98,0.116,0.123,0.009,-0.146,0.021,0.3031436992722858,18.587361297397763,16.319620093617335
42,1.64,0.98,0.114,0.126,0.016,-0.149,0.025,0.30431984562710146,18.332484828849402,16.015305179733545
43,1.68,0.98,0.117,0.143,0.016,-0.156,0.025,0.3004943203184962,18.408965207202666,15.508062419270823
44,1.72,0.98,0.115,0.135,0.022,-0.16,0.027,0.30182007080983075,18.642424734996244,15.805062480104231
45,1.76,0.98,0.126,0.152,0.035,-0.149,0.008,0.30202172048647097,18.258422713914936,15.820240200452035
46,1.8,0.98,0.11,0.146,0.027,-0.152,0.018,0.3011338921466617,18.344754018519897,15.811388300841852
47,1.84,0.98,0.105,0.148,0.026,-0.153,0.021,0.29278738409393984,18.86637220029335,15.911316727411434
48,1.88,0.98,0.098,0.16,0.03,-0.16,0.025,0.29019366799508983,19.03943276465963,15.501290268877622
49,1.92,0.98,0.1,0.19,0.059,-0.15,0.016,0.3004715119395757,19.325630649476913,15.601281998605138
50,1.96,0.98,0.102,0.188,0.072,-0.158,0.03,0.2962824231116241,19.822462006521842,16.500303027520435
51,2.0,0.98,0.14,0.257,0.107,-0.157,0.027,0.2652512421480282,18.921416437465638,17.302600960549324
52,2.04,0.98,0.137,0.297,0.091,-0.163,0.048,0.2236104845427912,18.100276240986073,16.25207679036737
53,2.08,0.98,0.112,0.478,0.121,-0.148,0.047,0.13712589011595921,16.704789732289402,20.578872661057016
54,2.12,0.98,0.091,0.308,0.139,-0.162,0.067,0.23222348782861763,16.0003124969483,17.300289014926843
55,2.16,0.98,0.089,0.266,0.16,-0.154,0.064,0.23292865687700087,16.215116404145903,18.621761463406102
56,2.2,0.98,0.122,0.237,0.171,-0.157,0.077,0.26412094948822534,17.64086165695987,19.200000000000045
57,2.24,0.98,0.116,0.221,0.161,-0.154,0.077,0.2733257339467752,18.162048342629106,20.10223868130117
58,2.28,0.98,0.121,0.216,0.158,-0.155,0.078,0.28284565209878965,18.36137249771918,20.30221662774777
59,2.32,0.98,0.131,0.214,0.155,-0.157,0.076,0.29303662844487427,17.933767033169666,20.30394050424702
60,2.36,0.98,0.131,0.227,0.157,-0.148,0.066,0.29183074324998903,18.327302038216054,19.32097306038177
61,2.4,0.98,0.124,0.208,0.16,-0.151,0.08,0.2927577702592659,18.66038584810069,19.920341362536913
62,2.44,0.98,0.114,0.211,0.153,-0.151,0.083,0.2915673775904378,18.170580618130966,19.606376513777256
63,2.48,0.98,0.104,0.206,0.149,-0.152,0.081,0.290769958757983,19.284190415985652,19.61249601657057
64,2.52,0.98,0.1,0.196,0.141,-0.154,0.08,0.29220198624230903,19.50282030886824,20.002249873451735
65,2.56,0.98,0.102,0.201,0.145,-0.156,0.081,0.2957035039760155,19.623710148695118,20.006249023742555
66,2.6,0.98,0.106,0.204,0.154,-0.152,0.073,0.293500342694219,19.811612756158997,20.20222759994555
67,2.64,0.98,0.105,0.2,0.144,-0.157,0.079,0.29409017807333193,19.5829007044411,20.503902067655318
68,2.68,0.98,0.106,0.207,0.152,-0.151,0.069,0.29984918568168273,19.88164983093702,20.406126531020018
69,2.72,0.98,0.114,0.189,0.133,-0.161,0.075,0.3113288689651048,19.77321420508061,20.519746587129188
70,2.76,0.98,0.111,0.211,0.15,-0.151,0.067,0.30371151684819087,19.30388561922189,20.606067067735083
71,2.8,0.98,0.112,0.199,0.136,-0.158,0.075,0.30064141553996093,19.29378138157478,20.106217943710867
72,2.84,0.98,0.112,0.2,0.143,-0.147,0.064,0.30142977576104146,19.691876497682905,20.603883129157982
73,2.88,0.98,0.119,0.204,0.153,-0.153,0.079,0.29365708222496617,18.876705220985947,20.00399960007998
74,2.92,0.98,0.118,0.204,0.16,-0.153,0.084,0.2925868054885,18.959430371189818,20.200990074746382
75,2.96,0.98,0.132,0.234,0.169,-0.143,0.072,0.29755586234490283,18.44396920405146,20.503902067655318
76,3.0,0.98,0.117,0.223,0.166,-0.153,0.083,0.30095022478002886,18.51944923587101,18.931983519959
77,3.04,0.98,0.134,0.245,0.174,-0.142,0.069,0.30209582261262613,18.53105501583746,19.84263087395415
78,3.08,0.98,0.124,0.221,0.173,-0.152,0.079,0.3064396365302061,18.4978377114733,19.337269714207398
79,3.12,0.98,0.112,0.213,0.173,-0.153,0.086,0.30963922557802837,18.4978377114733,18.432851108821968
80,3.16,0.98,0.128,0.22,0.188,-0.138,0.072,0.3130790435734612,18.469434208984406,19.80126258600703
81,3.2,0.98,0.123,0.223,0.188,-0.144,0.087,0.3059344301561005,18.760063965775856,19.184629264074953
