frame,timestamp,confidence,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,EAR,Pupil_Scale (Left),Pupil_Scale (Right)
1,0.0,0.98,0.173,0.523,0.106,-0.082,-0.122,0.12393227421458966,25.419677417308037,20.161349161204544
2,0.04,0.98,0.173,0.557,0.127,-0.082,-0.122,0.12071478242059949,24.06345777314642,18.61316738225932
3,0.08,0.98,0.189,0.529,0.13,-0.08,-0.121,0.1595239039409193,21.770622407271663,18.214829123546483
4,0.12,0.98,0.159,0.541,0.131,-0.082,-0.114,0.1794904048561662,18.496756472419634,17.663804799646094
5,0.16,0.98,0.126,0.479,0.116,-0.084,-0.11,0.19942270339663337,21.045902213970237,19.123022773609883
6,0.2,0.98,0.116,0.364,0.117,-0.081,-0.11,0.2306340466171103,18.330848316430984,18.71069213043707
7,0.24,0.98,0.098,0.29,0.134,-0.079,-0.113,0.25233446210620286,18.964440408301027,19.448650338776677
8,0.28,0.98,0.09,0.259,0.132,-0.073,-0.115,0.27175178310858783,20.073116349984193,20.478769494283654
9,0.32,0.98,0.081,0.25,0.134,-0.082,-0.112,0.27904585386560715,20.20544481074344,21.75591873490984
10,0.36,0.98,0.076,0.233,0.131,-0.076,-0.114,0.2927335016626429,20.690335908341428,22.439696967650832
11,0.4,0.98,0.079,0.217,0.136,-0.08,-0.113,0.2983159266013222,19.828514820833135,24.091699815496625
12,0.44,0.98,0.076,0.224,0.141,-0.08,-0.114,0.30409013962908943,19.828514820833245,23.277671704876262
13,0.48,0.98,0.081,0.227,0.148,-0.083,-0.112,0.3066780682846202,20.55480479109448,23.05558500667463
14,0.52,0.98,0.072,0.223,0.151,-0.09,-0.109,0.3084852991471525,19.556328898850133,23.622235287965452
15,0.56,0.98,0.08,0.227,0.163,-0.085,-0.107,0.29589058221502823,21.031880562612557,22.949074055395005
16,0.6,0.98,0.07,0.227,0.161,-0.089,-0.107,0.3066058750200793,22.19391808581804,23.84722206044129
17,0.64,0.98,0.054,0.19,0.149,-0.088,-0.11,0.32395752903122654,24.156986567036963,23.405341270744255
18,0.68,0.98,0.07,0.209,0.156,-0.084,-0.112,0.3249269525072044,22.046541678912003,23.92091135387622
19,0.72,0.98,0.065,0.213,0.155,-0.084,-0.112,0.30911291727204404,23.889956048515494,23.33088082349235
20,0.76,0.98,0.069,0.23,0.157,-0.086,-0.109,0.30870809351889705,22.192341021172147,23.421357774475933
21,0.8,0.98,0.063,0.209,0.131,-0.091,-0.112,0.3118770756423983,24.641631439496837,24.107467722678706
22,0.84,0.98,0.068,0.224,0.136,-0.091,-0.111,0.3128828731525848,23.430749027719912,24.401844192601487
23,0.88,0.98,0.069,0.212,0.135,-0.09,-0.112,0.30791054160470765,24.593698379869554,23.700210969525187
24,0.92,0.98,0.079,0.227,0.134,-0.093,-0.111,0.3063959637793986,23.23617868755535,24.010206163213176
25,0.96,0.98,0.073,0.223,0.129,-0.092,-0.112,0.30214046202146516,24.375807678926293,23.600211863455712
26,1.0,0.98,0.074,0.216,0.123,-0.091,-0.11,0.3020441755700878,23.022814771439148,24.71639132235938
27,1.04,0.98,0.08,0.217,0.123,-0.093,-0.109,0.2970598960796127,21.610414156142397,24.820153101864577
28,1.08,0.98,0.065,0.223,0.122,-0.094,-0.107,0.3045955782774049,23.847222060441343,25.22399651125892
29,1.12,0.98,0.062,0.228,0.118,-0.097,-0.105,0.303114805214946,23.724459951703828,24.924285345822835
30,1.16,0.98,0.064,0.217,0.117,-0.097,-0.107,0.30453106276072517,23.69852316073722,23.510423220350585
31,1.2,0.98,0.069,0.221,0.122,-0.1,-0.105,0.30598946327912546,23.163980659636174,23.81701072762906
32,1.24,0.98,0.061,0.217,0.117,-0.096,-0.106,0.3043062390950745,24.716391322359318,22.90196498119755
33,1.28,0.98,0.103,0.219,0.12,-0.097,-0.103,0.31208747951193005,17.729354190155988,25.119912420229518
34,1.32,0.98,0.116,0.146,0.129,-0.09,-0.109,0.3460859492388349,23.146490014686915,24.3166609549914
35,1.36,0.98,0.082,0.134,0.131,-0.091,-0.109,0.3569909026532492,23.6027540765903,16.410971939528725
