frame,timestamp,confidence,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,EAR,Pupil_Scale (Left),Pupil_Scale (Right)
40,1.56,0.98,0.01,0.581,0.269,0.207,-0.111,0.10656438831273711,26.718720029223,16.104657711357884
42,1.64,0.88,-0.019,0.443,0.175,0.271,-0.085,0.13839439743517043,26.70917445373399,19.69999999999999
43,1.68,0.88,0.042,0.418,0.042,0.037,-0.065,0.07904647294828285,27.299999999999955,19.580091930325572
44,1.72,0.98,0.069,0.394,-0.028,-0.054,-0.058,0.030685139523490803,27.000185184550123,28.838342532122084
46,1.8,0.77,0.079,0.513,0.018,0.056,-0.036,0.0697722465515914,26.300760445279973,24.972384747957072
48,1.88,0.98,-0.194,0.361,0.064,0.307,-0.034,0.19259393786356838,22.002045359466017,17.691240770505566
49,1.92,0.98,-0.216,0.319,0.005,0.333,0.009,0.19490328124969392,21.219095173922987,19.319679086361656
50,1.96,0.98,-0.246,0.312,-0.015,0.346,0.033,0.2025203683984279,23.61228493814184,17.736967046256837
51,2.0,0.98,-0.22,0.303,-0.042,0.3,0.046,0.19824834409983144,24.881519246219717,18.110770276274835
52,2.04,0.98,-0.197,0.315,-0.038,0.284,0.046,0.19814662267562205,23.69071548096427,18.741664813991225
53,2.08,0.98,-0.19,0.316,-0.037,0.276,0.04,0.19703317368807832,22.884492565927633,18.56906028855524
54,2.12,0.98,-0.191,0.317,-0.027,0.284,0.037,0.19577072333401052,23.533168082517157,20.492193635626183
55,2.16,0.98,-0.112,0.321,-0.012,0.274,0.026,0.18955234457496156,23.441842930964256,16.611140839809853
56,2.2,0.98,-0.076,0.344,0.034,0.237,0.003,0.19572754544421686,23.417301296263812,17.29855485293497
57,2.24,0.98,-0.055,0.359,0.066,0.188,-0.024,0.19269103188908393,23.317375495539753,17.748521065147912
58,2.28,0.98,-0.027,0.394,0.083,0.104,-0.038,0.1896976927639244,24.200206610688287,16.790473489452378
59,2.32,0.98,0.013,0.387,0.104,0.038,-0.044,0.18839947502945192,21.98226557932551,17.12103968805629
60,2.36,0.98,0.038,0.383,0.117,-0.016,-0.047,0.1783858902005415,22.04450044795765,16.967321532876003
