frame,timestamp,confidence,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,EAR,Pupil_Scale (Left),Pupil_Scale (Right)
1,0.0,0.88,0.04,0.113,0.143,-0.202,0.01,0.3645326423797536,15.344380078712927,20.816579930430493
2,0.04,0.88,0.048,0.191,0.18,-0.193,0.007,0.3740314106992052,17.92540097180525,20.28003944769343
3,0.08,0.88,0.082,0.208,0.228,-0.196,0.013,0.36347282578790485,23.089391503458994,19.35071058126825
4,0.12,0.88,0.093,0.221,0.234,-0.199,0.021,0.3300055894088214,20.349447166937775,18.213456563760804
5,0.16,0.88,0.078,0.25,0.256,-0.198,0.024,0.3209513373217432,18.544271352630666,17.910053042914058
6,0.2,0.88,0.118,0.215,0.296,-0.198,0.019,0.3293043615141535,20.142740627829138,17.534537347760278
7,0.24,0.88,0.11,0.229,0.297,-0.204,0.019,0.34412971835782363,19.553260597659975,16.83597339033293
8,0.28,0.88,0.113,0.222,0.292,-0.206,0.023,0.36557287907906477,19.6461192096555,21.605786262018004
9,0.32,0.88,0.073,0.238,0.292,-0.203,0.025,0.3550452957289267,19.712178976460123,16.907394831848077
10,0.36,0.88,0.067,0.233,0.284,-0.216,0.033,0.3739480736685197,19.138704240360678,17.20116275139566
11,0.4,0.88,0.07,0.245,0.281,-0.201,0.029,0.3042451421918083,19.758795509848177,17.64086165695987
12,0.44,0.88,0.043,0.259,0.274,-0.206,0.03,0.2947763320189637,19.237983262286228,17.035551062410633
13,0.48,0.88,0.094,0.198,0.278,-0.226,0.035,0.3928926701345943,17.888543819998237,15.615697230671362
14,0.52,0.88,0.027,0.247,0.277,-0.196,0.029,0.3028923048550427,19.69568480657615,17.24905794529085
15,0.56,0.88,0.061,0.196,0.279,-0.21,0.03,0.358610617573044,18.978935691971714,17.035551062410633
22,0.84,0.88,0.059,0.22,0.274,-0.213,0.023,0.39012849704631025,18.232114523554305,16.475739740600595
23,0.88,0.88,0.088,0.194,0.27,-0.229,0.025,0.3917582869308903,16.93310367298332,17.373830895919244
24,0.92,0.88,0.118,0.267,0.278,-0.229,0.031,0.3576695119706088,17.672577627499518,16.23083485221883
25,0.96,0.98,0.097,0.253,0.269,-0.238,0.033,0.3501062947022381,18.000555546982294,15.520631430454108
28,1.08,0.88,0.065,0.269,0.268,-0.219,0.032,0.3500674288890163,18.271836251455543,16.436848846418314
29,1.12,0.88,0.087,0.293,0.258,-0.218,0.028,0.3466522762917447,18.117670931993523,16.63640586184399
30,1.16,0.88,0.089,0.161,0.261,-0.226,0.032,0.3952026485128639,18.35647024893403,15.600320509528137
36,1.4,0.88,0.093,0.208,0.27,-0.228,0.03,0.3792008822766074,19.062528688503033,16.84280261714179
37,1.44,0.98,0.06,0.279,0.266,-0.208,0.026,0.30718120884422206,18.034688796871386,18.17965896269798
38,1.48,0.88,0.103,0.234,0.255,-0.225,0.034,0.336568522225498,17.805897899291583,18.23321145602172
39,1.52,0.98,0.118,0.251,0.269,-0.228,0.033,0.3383417783085707,18.047160441465437,17.373830895919255
40,1.56,0.98,0.043,0.276,0.256,-0.2,0.026,0.2940903898286317,18.146349495146396,17.74767590418513
41,1.6,0.88,0.077,0.242,0.26,-0.217,0.032,0.3139564015741074,18.429595763336795,17.310401497365635
42,1.64,0.98,0.057,0.259,0.259,-0.221,0.033,0.31519538468707853,18.172781845386247,17.10263137648698
43,1.68,0.88,0.058,0.255,0.264,-0.221,0.032,0.3047778907703742,19.08743041899583,16.800000000000182
44,1.72,0.88,0.064,0.243,0.26,-0.221,0.035,0.32410609845482086,19.516403357176284,16.802678357928492
45,1.76,0.98,0.056,0.253,0.263,-0.218,0.033,0.31229423528146294,20.171762441591564,16.200308639035292
46,1.8,0.88,0.07,0.261,0.255,-0.218,0.033,0.3102603333258005,19.267589366602152,16.9002958553986
47,1.84,0.98,0.028,0.256,0.254,-0.214,0.031,0.29851681880220104,18.24828759089466,17.604544867732223
48,1.88,0.88,0.05,0.25,0.257,-0.224,0.035,0.3223233628884493,19.749683541768537,16.901183390520185
49,1.92,0.88,0.056,0.254,0.254,-0.218,0.033,0.31476986326217304,18.24828759089466,16.61083983427703
50,1.96,0.88,0.069,0.249,0.256,-0.226,0.036,0.33215364598220987,19.690099034794063,16.72991332912402
51,2.0,0.98,0.046,0.258,0.263,-0.208,0.031,0.29817830281197766,20.94755355644176,17.210461934532773
52,2.04,0.88,0.036,0.253,0.25,-0.207,0.028,0.29028860869756234,19.744872752185568,17.781451009408702
53,2.08,0.88,0.076,0.249,0.26,-0.223,0.029,0.31554537829683516,19.448650338776773,17.423260314878014
54,2.12,0.88,0.064,0.259,0.256,-0.22,0.031,0.30237472265760074,20.303940504246953,18.07097119692243
55,2.16,0.88,0.069,0.257,0.256,-0.226,0.035,0.30409203243655286,19.699999999999992,17.62554963681984
56,2.2,0.88,0.087,0.254,0.254,-0.223,0.033,0.3047857406863492,18.906083676954314,17.974704448196036
57,2.24,0.88,0.083,0.251,0.253,-0.231,0.037,0.3098612041775116,19.448650338776773,17.228464818433615
58,2.28,0.88,0.069,0.256,0.252,-0.224,0.033,0.3046106764297241,19.771696942852564,17.281782315490403
59,2.32,0.88,0.065,0.254,0.243,-0.223,0.032,0.3055784745500825,19.22628409235661,17.383325343558365
60,2.36,0.98,0.043,0.241,0.239,-0.212,0.031,0.30336708374614363,19.71319355152796,17.46453549339355
61,2.4,0.98,0.047,0.265,0.229,-0.214,0.031,0.28820332932038306,18.32075325962341,17.5647374019652
62,2.44,0.98,0.051,0.214,0.23,-0.216,0.029,0.26817007943833976,18.971821209361867,20.03247363657328
63,2.48,0.98,0.065,0.205,0.225,-0.212,0.025,0.27147277604841263,18.051038751274078,23.30407689654328
64,2.52,0.88,0.099,0.201,0.215,-0.237,0.029,0.2840976310996326,16.62077013859466,21.612265036316767
65,2.56,0.88,0.068,0.215,0.221,-0.239,0.029,0.26890296705998806,15.76483428393709,22.318826134006283
66,2.6,0.88,0.056,0.22,0.191,-0.247,0.032,0.25030143126844606,18.597311633674366,22.65656637710145
67,2.64,0.98,0.025,0.3,0.162,-0.238,0.025,0.20921591505990603,21.98226557932562,20.31944881142185
68,2.68,0.88,0.114,0.359,0.129,-0.27,0.041,0.1792004037835245,14.101418368377125,20.71834935510066
69,2.72,0.93,0.06,0.365,0.165,-0.271,0.025,0.20103545588771748,14.52790418470607,18.288794383446973
70,2.76,0.88,0.042,0.39,0.197,-0.266,0.02,0.205214905951054,14.776332427229747,18.398369492974023
