frame,timestamp,confidence,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,EAR,Pupil_Scale (Left),Pupil_Scale (Right)
9,0.32,0.93,0.367,0.538,0.457,-0.449,0.279,0.3905932390620157,14.322360140703026,15.912573644762816
11,0.4,0.88,0.281,0.553,0.439,-0.447,0.282,0.27060482651766304,11.328283188550733,15.417522498767497
12,0.44,0.88,0.256,0.469,0.437,-0.446,0.281,0.2803519091363079,12.316655390161634,16.78362297002653
13,0.48,0.88,0.254,0.531,0.438,-0.438,0.279,0.2692157984581378,11.788553770501197,20.19925741209317
14,0.52,0.88,0.299,0.548,0.432,-0.443,0.281,0.2731733837042917,11.610770861575043,20.566477578817487
15,0.56,0.88,0.288,0.592,0.445,-0.45,0.283,0.29366975696444453,12.865846260545737,16.85734261382852
16,0.6,0.88,0.355,0.607,0.437,-0.45,0.286,0.31791148338741904,12.083045973594531,21.668871682669597
24,0.92,0.93,0.383,0.51,0.452,-0.453,0.286,0.39369164774348464,11.1072048689127,16.468454693747162
31,1.2,0.93,0.316,0.509,0.465,-0.444,0.281,0.3780535312046661,11.022250223978771,16.22374802565662
32,1.24,0.93,0.316,0.511,0.453,-0.452,0.281,0.3571001709872251,11.207140580897569,15.592947123619709
33,1.28,0.88,0.36,0.528,0.464,-0.46,0.284,0.3988190996844405,10.412012293500098,17.18429515575198
34,1.32,0.88,0.353,0.515,0.458,-0.461,0.282,0.367321386052455,10.323759005323552,17.149344010777703
35,1.36,0.88,0.36,0.532,0.446,-0.451,0.275,0.3001061439056015,10.104454463255438,15.807909412695865
37,1.44,0.93,0.342,0.518,0.445,-0.459,0.28,0.31516495014892265,10.423531071570794,16.69730517179346
39,1.52,0.88,0.34,0.517,0.437,-0.459,0.276,0.3048316358550682,10.50761628534274,18.07097119692243
42,1.64,0.93,0.351,0.488,0.452,-0.461,0.278,0.3831197092123988,10.00199980003999,14.805404418657465
45,1.76,0.88,0.375,0.517,0.452,-0.467,0.276,0.38613421612364185,10.400480758118919,15.570806016388461
46,1.8,0.93,0.349,0.523,0.45,-0.458,0.272,0.3458002475699364,10.104454463255438,16.5746794840805
47,1.84,0.93,0.341,0.492,0.46,-0.461,0.279,0.3692944299168222,10.417293314484425,17.083910559353768
56,2.2,0.93,0.37,0.517,0.451,-0.451,0.274,0.3999051176630829,10.51189802081432,15.753729717117835
58,2.28,0.93,0.363,0.519,0.454,-0.457,0.279,0.392904652755687,10.0,16.200308639035264
59,2.32,0.93,0.344,0.516,0.459,-0.452,0.277,0.3874859435843564,10.200490184300014,16.69730517179346
64,2.52,0.93,0.341,0.528,0.471,-0.439,0.279,0.3879493496227191,9.802040603874232,15.318289721767172
65,2.56,0.88,0.374,0.531,0.467,-0.426,0.281,0.36675043762208936,13.301503674397072,16.475739740600485
77,3.04,0.93,0.344,0.566,0.536,-0.388,0.358,0.3732117662964958,10.21763181955588,16.61926592843369
78,3.08,0.93,0.195,0.527,0.537,-0.371,0.359,0.2732284323531286,10.705606008068992,15.308167754502778
79,3.12,0.88,0.212,0.504,0.543,-0.361,0.36,0.32456295649010414,13.140015220691202,18.85125990484465
80,3.16,0.88,0.248,0.5,0.533,-0.35,0.358,0.2800583034523122,11.808894952534542,18.93911296761275
81,3.2,0.88,0.269,0.54,0.532,-0.349,0.358,0.26719504229101165,10.522357150372818,18.132015883513844
82,3.24,0.88,0.353,0.661,0.537,-0.363,0.376,0.29946213080134687,11.493476410555846,22.649724060129206
83,3.28,0.88,0.363,0.702,0.538,-0.363,0.38,0.32538335721925166,11.584903970253714,20.0
84,3.32,0.88,0.406,0.654,0.548,-0.356,0.375,0.39137944674725433,13.1106826671993,17.634341496069553
86,3.4,0.93,0.339,0.561,0.536,-0.354,0.37,0.3879818518814714,11.201785571952401,20.608736011701467
127,5.04,0.88,0.315,0.599,0.601,-0.411,0.373,0.33285865718665963,9.305912099305514,16.65082580534673
128,5.08,0.98,0.378,0.604,0.617,-0.431,0.383,0.3799184403967367,12.578155667664474,14.0089257261219
129,5.12,0.98,0.318,0.553,0.627,-0.425,0.382,0.32762227422796125,14.40069442770054,13.274034804836022
130,5.16,0.98,0.347,0.588,0.623,-0.41,0.375,0.31637440164654385,14.142135623730951,14.829699929533216
131,5.2,0.98,0.321,0.586,0.625,-0.408,0.37,0.30943132542363344,14.4006944277003,12.457929201917931
132,5.24,0.98,0.316,0.562,0.633,-0.409,0.376,0.32383782822894325,14.016062214473877,13.618002790424065
133,5.28,0.98,0.333,0.554,0.65,-0.411,0.377,0.3125147006571964,14.201408380861432,12.220065466273132
134,5.32,0.98,0.348,0.554,0.646,-0.406,0.376,0.3302923849952381,14.905368160498512,16.81933411285957
135,5.36,0.88,0.355,0.581,0.646,-0.413,0.384,0.3883626863138389,14.805404418657355,15.845504094221763
136,5.4,0.98,0.361,0.57,0.643,-0.417,0.384,0.30908000016898807,14.322360140703253,12.60198397078808
137,5.44,0.98,0.332,0.548,0.647,-0.414,0.38,0.31926432239709346,13.831124321616143,13.006152390311286
138,5.48,0.98,0.35,0.57,0.646,-0.419,0.381,0.31699414998769126,14.32236014070302,12.965338406690327
139,5.52,0.98,0.35,0.562,0.646,-0.419,0.375,0.30852269381921005,13.917614738165538,12.141251994749164
140,5.56,0.88,0.314,0.581,0.64,-0.416,0.374,0.3079271240198801,13.951702405082912,12.703542812932191
141,5.6,0.98,0.317,0.555,0.641,-0.416,0.37,0.3188930267314488,13.693794214898864,12.4197423483742
142,5.64,0.98,0.334,0.595,0.647,-0.408,0.369,0.3265765324468113,14.31362986806635,11.933985084622798
143,5.68,0.98,0.321,0.583,0.642,-0.406,0.369,0.3051284528558231,14.49999999999987,13.960659010232987
144,5.72,0.98,0.318,0.551,0.636,-0.408,0.368,0.32517970238395455,13.892443989449761,15.264337522473678
145,5.76,0.98,0.324,0.553,0.629,-0.404,0.363,0.32862811553186333,13.023056476879738,14.4256715614906
146,5.8,0.98,0.338,0.576,0.629,-0.399,0.361,0.32875329148318977,12.889142717807161,13.562448156582937
147,5.84,0.98,0.34,0.589,0.628,-0.398,0.36,0.3037753765236672,13.366001645967327,15.905030650709254
148,5.88,0.88,0.369,0.63,0.618,-0.402,0.361,0.38968674709948803,14.727525250360337,14.72175261305533
149,5.92,0.88,0.274,0.712,0.603,-0.404,0.363,0.2529078728150641,14.948244044034237,14.202112518917755
150,5.96,0.88,0.272,0.695,0.602,-0.403,0.357,0.2438004581324733,12.461540835707456,21.413313615599016
151,6.0,0.88,0.264,0.647,0.598,-0.398,0.357,0.2558391682333939,16.046183346827316,21.0107115538718
152,6.04,0.88,0.223,0.638,0.596,-0.399,0.356,0.25567012187869853,11.788553770501197,18.711493793922468
153,6.08,0.88,0.207,0.656,0.574,-0.393,0.352,0.25045113992817547,13.473306943731403,26.94587166895894
154,6.12,0.88,0.235,0.706,0.572,-0.389,0.35,0.24101361901394783,14.401388821915793,22.98717033477585
155,6.16,0.88,0.266,0.711,0.574,-0.393,0.351,0.2487723960533118,14.270599146496869,20.507803392855212
156,6.2,0.88,0.302,0.731,0.576,-0.398,0.358,0.24988958435993963,14.977650015940366,20.308865059377442
157,6.24,0.88,0.327,0.721,0.57,-0.406,0.368,0.3152020265674599,13.810141201305582,19.064626930522493
158,6.28,0.88,0.362,0.665,0.581,-0.406,0.372,0.3620320284823313,10.653168542738834,20.634437234875154
159,6.32,0.88,0.382,0.636,0.579,-0.4,0.367,0.38444705058225287,11.104053313992956,20.886598574205422
160,6.36,0.88,0.394,0.636,0.586,-0.406,0.368,0.38831623816810945,10.945775440780885,22.090722034374522
161,6.4,0.88,0.371,0.636,0.576,-0.406,0.366,0.3762977092660269,11.543396380615196,20.953758612716694
163,6.48,0.88,0.368,0.603,0.574,-0.404,0.366,0.38971209126834727,11.415778554264133,21.70829334609241
