frame,timestamp,confidence,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,EAR,Pupil_Scale (Left),Pupil_Scale (Right)
1,0.0,0.88,0.425,0.703,0.459,-0.417,0.233,0.23273400219386411,12.36850839834798,23.003477997902838
2,0.04,0.88,0.464,0.709,0.461,-0.396,0.237,0.28619469777387224,11.90504094911041,21.223571801183635
3,0.08,0.88,0.401,0.652,0.447,-0.396,0.237,0.29848093354976235,19.00736699282671,22.82651966463576
4,0.12,0.88,0.484,0.71,0.448,-0.424,0.251,0.293634980473698,13.908630414242856,23.330880823492233
5,0.16,0.88,0.446,0.704,0.461,-0.422,0.258,0.31542059711431825,15.493547043850313,21.105923339195584
6,0.2,0.88,0.466,0.699,0.448,-0.43,0.264,0.35924921416680144,19.474342094150398,22.257582977493357
7,0.24,0.88,0.459,0.691,0.469,-0.419,0.265,0.3151415420531095,14.15980225850616,23.200862052949713
9,0.32,0.88,0.546,0.698,0.458,-0.43,0.273,0.3757416825232978,14.317821063276353,26.037665025881257
10,0.36,0.88,0.478,0.674,0.475,-0.424,0.274,0.3628848617662205,13.767352686700516,23.503191272676123
11,0.4,0.88,0.487,0.675,0.464,-0.426,0.27,0.3712611917559775,14.105672617780279,24.413111231467497
12,0.44,0.88,0.431,0.648,0.468,-0.415,0.262,0.32866636922219084,14.401388821915793,21.891550881561542
13,0.48,0.88,0.406,0.655,0.477,-0.41,0.263,0.36390400700246783,13.284953895290762,25.200198411917246
19,0.72,0.88,0.578,0.778,0.463,-0.413,0.27,0.3786136368211696,15.047258886588034,23.20193957409589
26,1.0,0.88,0.401,0.651,0.47,-0.408,0.265,0.36327469158946113,14.698639392814695,27.961401967712632
27,1.04,0.88,0.427,0.679,0.474,-0.409,0.263,0.3480595076163965,14.441952776546621,26.700749053163214
28,1.08,0.88,0.45,0.72,0.476,-0.413,0.265,0.3694043039605809,14.797972834141895,29.300170647967178
29,1.12,0.88,0.507,0.721,0.472,-0.411,0.264,0.3876704163889482,15.020652449211473,28.93579098625099
30,1.16,0.88,0.517,0.732,0.479,-0.423,0.27,0.373418513248122,16.786303941011003,29.867038688159294
31,1.2,0.88,0.517,0.723,0.463,-0.417,0.267,0.3526374944660422,14.268847185389617,29.68922363417397
32,1.24,0.88,0.534,0.767,0.467,-0.415,0.264,0.3741137554645247,13.705838172107443,27.10903908293323
33,1.28,0.88,0.539,0.714,0.467,-0.428,0.272,0.37824890657534094,14.069825869569243,26.83654225119171
34,1.32,0.88,0.532,0.787,0.47,-0.421,0.266,0.37716979007040485,16.292943257741896,24.613004692641564
35,1.36,0.88,0.129,0.252,0.467,-0.428,0.272,0.3981949061312523,14.483784035948574,22.52687284112022
36,1.4,0.88,0.601,0.764,0.462,-0.432,0.269,0.3803864493123472,13.930183056945047,25.52371446322028
39,1.52,0.88,0.542,0.733,0.461,-0.423,0.265,0.3448046282830744,14.93452376207553,29.94277876216577
40,1.56,0.88,0.595,0.76,0.461,-0.433,0.268,0.3655937094736892,14.577379737113251,24.410038918444982
41,1.6,0.88,0.555,0.798,0.471,-0.423,0.262,0.3740117481570074,14.611296999240007,26.915051551130247
45,1.76,0.88,0.577,0.701,0.457,-0.431,0.269,0.38084828536756266,15.274161188097926,27.373162038756202
51,2.0,0.88,0.543,0.74,0.459,-0.43,0.266,0.36717256537701604,13.84629914453692,28.850129982376117
52,2.04,0.88,0.109,0.25,0.471,-0.431,0.269,0.38858944045099814,14.481022063376518,24.72913261721895
54,2.12,0.88,0.089,0.254,0.468,-0.432,0.268,0.38575623978051454,14.12232275512774,24.624581214713096
56,2.2,0.88,0.557,0.767,0.46,-0.431,0.264,0.36651174083283466,14.156623891309682,24.64568927824907
57,2.24,0.88,0.546,0.772,0.473,-0.424,0.264,0.3764363533139339,12.886038956948848,25.550146770615623
58,2.28,0.88,0.616,0.792,0.464,-0.428,0.268,0.3939059284029025,13.711673858431723,24.352617929085113
60,2.36,0.88,0.099,0.242,0.465,-0.434,0.269,0.39670258923996166,14.591093173576768,23.541665191740364
61,2.4,0.88,0.639,0.787,0.463,-0.426,0.266,0.3995588780940925,13.300375934536714,28.935790986250876
62,2.44,0.88,0.617,0.798,0.467,-0.428,0.263,0.37598473503358487,13.283448347473541,20.206187171260122
63,2.48,0.88,0.581,0.733,0.464,-0.418,0.261,0.38888806349197347,13.159407281484853,28.01428207182903
64,2.52,0.88,0.575,0.766,0.467,-0.419,0.259,0.3340921575021416,13.793114224133763,23.603389587091108
65,2.56,0.88,0.509,0.731,0.469,-0.418,0.258,0.3878201518494623,13.039171752837765,22.800219297190935
69,2.72,0.88,0.59,0.783,0.469,-0.419,0.258,0.39229030873652115,13.980700983856373,22.62211307548437
71,2.8,0.88,0.601,0.798,0.469,-0.419,0.253,0.3924572059597088,14.022838514366484,26.736678926149416
72,2.84,0.88,0.091,0.252,0.453,-0.409,0.247,0.3841907394073778,19.075901027212318,27.65863337187869
73,2.88,0.88,0.556,0.737,0.454,-0.41,0.244,0.3673758025615849,17.755280904564746,26.1725046566048
74,2.92,0.88,0.622,0.797,0.461,-0.42,0.251,0.38851523311038516,16.930741271426903,28.669844785069813
77,3.04,0.88,0.093,0.255,0.458,-0.416,0.244,0.38562740146151847,15.289538907370527,22.870942263055056
78,3.08,0.88,0.102,0.248,0.457,-0.415,0.248,0.375027007635518,14.897315194356285,23.43608329051591
80,3.16,0.88,0.094,0.262,0.467,-0.413,0.245,0.38766289880739546,14.911069713471308,25.3160028440511
81,3.2,0.88,0.611,0.749,0.47,-0.405,0.245,0.3706288192819164,16.260688792299057,28.369349657685166
82,3.24,0.88,0.591,0.77,0.464,-0.41,0.242,0.37433533018683307,15.009663553857516,29.667490625261877
83,3.28,0.88,0.58,0.725,0.474,-0.405,0.247,0.3878082979257892,14.488616221019733,27.044038160008622
88,3.48,0.88,0.573,0.732,0.471,-0.415,0.251,0.3957630578583514,14.024621207005868,26.618038996139425
89,3.52,0.88,0.538,0.704,0.454,-0.422,0.252,0.3723421082897722,14.412841496387822,26.826293072282695
96,3.8,0.88,0.495,0.715,0.472,-0.409,0.247,0.3895976133503162,14.259382875847093,29.361539469176293
97,3.84,0.88,0.527,0.72,0.473,-0.413,0.249,0.38732412874358646,14.8097940566368,28.31059872203346
98,3.88,0.88,0.553,0.729,0.472,-0.415,0.249,0.38143198222342367,14.71223980228712,26.40681730159844
