frame,timestamp,confidence,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,EAR,Pupil_Scale (Left),Pupil_Scale (Right)
1,0.0,0.98,0.182,0.361,0.206,-0.22,0.019,0.23539256597663433,18.246369501903594,15.753729717117832
2,0.04,0.98,0.183,0.408,0.233,-0.217,0.018,0.2654866813255793,18.13973538947029,15.825612152457234
3,0.08,0.98,0.187,0.374,0.22,-0.224,0.021,0.26276456546812077,18.74513270158421,16.319620093617445
4,0.12,0.98,0.175,0.429,0.231,-0.209,0.022,0.17663912425201328,17.655594014362606,16.407315441594996
5,0.16,0.98,0.213,0.395,0.236,-0.227,0.025,0.24634564435403786,17.42871194322745,16.619265928433805
6,0.2,0.98,0.206,0.44,0.237,-0.213,0.021,0.18224041027715776,17.029386365926403,16.43471934655407
7,0.24,0.98,0.2,0.407,0.247,-0.22,0.021,0.22844676440420197,18.022485955050705,15.83824485225552
8,0.28,0.98,0.228,0.375,0.231,-0.215,0.014,0.21411540488433894,18.70106948813349,16.33707440149547
9,0.32,0.98,0.2,0.386,0.253,-0.216,0.018,0.24380512537463503,18.706683297688066,16.319620093617328
10,0.36,0.98,0.199,0.377,0.241,-0.218,0.013,0.23627415842330146,19.409276132818533,17.407182425654163
11,0.4,0.93,0.229,0.465,0.283,-0.211,0.022,0.18423554313533907,17.30260096054921,15.164761785138618
12,0.44,0.98,0.188,0.379,0.251,-0.21,0.014,0.2442848699569857,18.217573932881336,17.2046505340853
13,0.48,0.98,0.182,0.332,0.255,-0.215,0.022,0.2800008371724233,17.840403582879016,17.800280896660098
14,0.52,0.98,0.169,0.41,0.258,-0.207,0.018,0.2176942784218296,17.91786817676699,16.633099530754937
15,0.56,0.98,0.228,0.405,0.263,-0.2,0.018,0.23276515244056523,18.813027401245083,16.70478973228929
16,0.6,0.98,0.198,0.42,0.262,-0.208,0.02,0.2196620079474585,18.52187895436097,16.038079685548478
17,0.64,0.98,0.193,0.409,0.251,-0.205,0.017,0.20481964962415883,17.310401497365635,16.9567095864735
18,0.68,0.98,0.164,0.335,0.246,-0.2,0.015,0.26911120460224214,20.12013916452857,17.500285711953392
19,0.72,0.98,0.185,0.38,0.282,-0.191,0.009,0.28590619715049903,19.406442229321776,17.20523176246111
20,0.76,0.98,0.15,0.445,0.261,-0.198,0.012,0.1386661874407944,14.64923206178401,16.360012224934266
21,0.8,0.98,0.204,0.449,0.276,-0.194,0.024,0.1333903447760238,17.110523077918945,16.308586695357782
22,0.84,0.98,0.173,0.441,0.28,-0.195,0.027,0.19158020391495129,16.702694393420416,16.83151805393683
23,0.88,0.98,0.171,0.477,0.31,-0.195,0.029,0.17688923977883803,15.900314462299143,16.6736318779083
24,0.92,0.98,0.189,0.46,0.323,-0.2,0.032,0.1956976184934742,17.713836399831674,17.650495743746077
25,0.96,0.98,0.181,0.489,0.329,-0.198,0.038,0.18444503900752934,15.600320509528023,17.572706109190975
26,1.0,0.98,0.166,0.488,0.332,-0.2,0.043,0.19597862829535462,18.00444389588304,17.37872262279368
27,1.04,0.98,0.183,0.519,0.353,-0.193,0.038,0.17451772765171095,14.308738588708604,16.423458831805245
28,1.08,0.98,0.191,0.463,0.32,-0.199,0.047,0.17467288871810388,16.900295855398486,16.807438829280326
29,1.12,0.98,0.19,0.496,0.32,-0.205,0.054,0.12432510846904599,15.108275877809508,16.16446720433433
30,1.16,0.98,0.155,0.483,0.311,-0.194,0.047,0.15457319188414778,14.505516192124981,16.654428840401554
31,1.2,0.98,0.203,0.472,0.324,-0.196,0.048,0.13940492014848443,14.727525250360337,16.36245702820936
32,1.24,0.98,0.134,0.45,0.294,-0.192,0.044,0.20740325779841567,15.000333329629711,16.94992625352686
33,1.28,0.98,0.16,0.469,0.312,-0.191,0.048,0.19908368091908016,16.50272704737008,16.95788901956842
34,1.32,0.98,0.176,0.521,0.359,-0.185,0.047,0.14241449949340484,14.812157169028488,17.069563556224836
35,1.36,0.98,0.161,0.482,0.327,-0.182,0.041,0.13539114043035858,16.802678357928492,16.65893153836706
36,1.4,0.98,0.177,0.48,0.311,-0.192,0.039,0.17783422199878718,18.002499826412997,17.21307642462556
37,1.44,0.98,0.17,0.459,0.307,-0.182,0.026,0.20319671878295636,17.300289014926843,20.717142660125724
38,1.48,0.98,0.165,0.448,0.287,-0.185,0.028,0.18663518890933434,17.90251378996825,17.341568556506136
39,1.52,0.98,0.162,0.47,0.318,-0.188,0.032,0.18994336246989424,16.501212076693033,16.94343530692647
40,1.56,0.98,0.152,0.468,0.302,-0.191,0.035,0.17875652561014535,15.600320509528023,18.555861607589097
41,1.6,0.93,0.169,0.403,0.28,-0.193,0.033,0.250120864852005,17.10116955064772,17.066048165876012
42,1.64,0.98,0.178,0.385,0.241,-0.211,0.029,0.20615001617745515,20.106217943710867,17.341568556506026
43,1.68,0.98,0.166,0.342,0.237,-0.202,0.028,0.24910735883622148,19.60025510038062,17.60028408861632
44,1.72,0.98,0.196,0.388,0.252,-0.204,0.022,0.28494598389914233,17.74063133036707,17.31040149736575
45,1.76,0.98,0.178,0.399,0.256,-0.204,0.033,0.22991589951744834,18.604300578092175,18.139735389470292
46,1.8,0.98,0.165,0.395,0.24,-0.198,0.025,0.1945763362615332,16.9026625121606,18.027756377319946
47,1.84,0.98,0.218,0.35,0.244,-0.195,0.015,0.2955053716102213,17.927911200137157,17.817968458833864
48,1.88,0.98,0.219,0.406,0.254,-0.201,0.015,0.2081575971523916,17.00264685276972,18.617196351760402
49,1.92,0.98,0.199,0.374,0.241,-0.209,0.02,0.21449679794606263,16.702694393420416,17.947144619688093
50,1.96,0.98,0.211,0.366,0.254,-0.198,0.02,0.2668666028481768,18.300273222004044,18.617196351760292
51,2.0,0.98,0.16,0.394,0.223,-0.199,0.024,0.20839170385039218,20.408821622033916,17.912007146045983
52,2.04,0.98,0.172,0.355,0.226,-0.204,0.024,0.26555774737463256,18.201098867925463,18.146625030567
53,2.08,0.98,0.182,0.348,0.204,-0.204,0.017,0.190438123874355,18.200274723201343,17.45623097922341
54,2.12,0.98,0.191,0.388,0.225,-0.199,0.021,0.18069238336671203,19.004210059878837,16.061133210331086
55,2.16,0.98,0.226,0.359,0.257,-0.199,0.032,0.2959791702921945,17.910053042914285,15.305227865014034
56,2.2,0.98,0.168,0.425,0.246,-0.206,0.029,0.21107193111035158,19.004210059878837,17.283807450906224
57,2.24,0.98,0.169,0.438,0.247,-0.2,0.033,0.1837993400150733,16.72991332912402,17.969418465826926
58,2.28,0.98,0.199,0.396,0.245,-0.209,0.038,0.20305306919923888,16.814577009250108,17.265283084849827
59,2.32,0.98,0.174,0.365,0.236,-0.206,0.032,0.2619619370989816,18.339302058693463,16.501212076693033
60,2.36,0.98,0.194,0.384,0.258,-0.206,0.04,0.26622657601128424,17.607100840286023,17.592327873252025
61,2.4,0.98,0.192,0.359,0.232,-0.204,0.037,0.27523135328722836,18.804254837669006,17.302600960549324
62,2.44,0.98,0.19,0.377,0.26,-0.205,0.035,0.28001883928336646,18.42715387681991,17.318487231857244
63,2.48,0.98,0.194,0.425,0.25,-0.207,0.03,0.21728377869155185,16.5366260162102,16.95788901956842
