frame,timestamp,confidence,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,EAR,Pupil_Scale (Left),Pupil_Scale (Right)
206,8.199,0.88,0.094,0.123,-0.091,0.01,-0.015,0.2489272644688082,22.238030488332413,24.140422531513405
209,8.319,0.88,0.157,0.268,0.056,-0.032,0.047,0.2531672313482028,25.003199795226212,18.320753259623295
210,8.359,0.88,0.143,0.287,0.076,-0.057,0.067,0.23335412587513377,27.30293024567139,26.382759522081773
211,8.399,0.88,0.14,0.311,0.097,-0.073,0.072,0.23166638165222547,27.10461215365387,26.998148084637194
212,8.439,0.88,0.143,0.315,0.083,-0.101,0.069,0.22534438195400233,23.90334704596825,26.084669827314283
213,8.479,0.88,0.159,0.369,0.135,-0.11,0.062,0.21970503801046637,24.807257002740098,26.63174797117157
214,8.519,0.88,0.084,0.455,0.209,-0.09,0.049,0.21138384759851875,16.702694393420412,18.71817298776771
215,8.559,0.88,0.119,0.533,0.294,-0.071,0.036,0.200823646788849,17.747675904185357,20.80312476528468
216,8.599,0.88,0.133,0.559,0.358,-0.057,0.014,0.19640172006820966,18.445866745696698,21.199292441022646
217,8.639,0.88,0.107,0.585,0.414,-0.053,-0.012,0.1993441090189057,19.736514383244117,17.93543977715636
218,8.679,0.88,0.148,0.562,0.432,-0.04,-0.045,0.19364798742933884,22.856071403458714,19.958206332233416
219,8.719,0.88,0.087,0.592,0.534,-0.018,-0.07,0.21688975992707019,22.884492565927737,18.978935691971785
256,10.199,0.88,0.245,0.538,0.525,-0.266,0.248,0.21162372665577864,17.28380745090622,18.760063965775743
257,10.239,0.88,0.222,0.54,0.517,-0.252,0.249,0.22083043127403473,18.080099557248023,19.337269714207398
258,10.279,0.88,0.208,0.524,0.509,-0.248,0.251,0.23141601179529317,18.034688796871404,19.864541273334208
259,10.319,0.88,0.201,0.512,0.501,-0.246,0.243,0.23539515075160716,17.837320426566336,19.094763680129702
260,10.359,0.88,0.196,0.513,0.485,-0.232,0.23,0.24402004430169316,17.442763542512335,19.483326204732172
261,10.399,0.88,0.194,0.523,0.511,-0.211,0.224,0.23521002052267026,18.952572384771365,20.65453945262399
262,10.439,0.88,0.169,0.516,0.524,-0.187,0.211,0.23129768973388226,20.195048898182936,21.02379604162864
263,10.479,0.88,0.162,0.521,0.539,-0.173,0.202,0.23666773363744192,18.414125013152304,21.223571801183635
264,10.519,0.88,0.144,0.513,0.512,-0.162,0.181,0.23570114697096228,18.35755975068575,21.5188289644209
265,10.559,0.88,0.126,0.528,0.552,-0.146,0.174,0.2525125857763041,18.630351580150055,21.095023109728988
266,10.599,0.98,0.122,0.512,0.513,-0.136,0.159,0.234744537227251,19.672569735548027,19.956452590578294
267,10.639,0.88,0.128,0.514,0.543,-0.121,0.149,0.23732551336750043,19.215098230297876,22.408257406590046
268,10.679,0.88,0.132,0.478,0.521,-0.125,0.146,0.2163492856992884,19.20442657305864,20.22003956474859
269,10.719,0.98,0.134,0.435,0.464,-0.136,0.138,0.20679272756034317,19.531000998412754,23.380333616097104
