frame,timestamp,confidence,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,EAR,Pupil_Scale (Left),Pupil_Scale (Right)
1,0.0,0.93,0.539,0.43,0.177,-0.662,-0.014,0.2587491144792499,9.013878188659973,16.33676834627951
2,0.04,0.93,0.496,0.477,0.2,-0.625,0.025,0.2364855405788283,11.016351483136328,13.497407158413743
3,0.08,0.98,0.461,0.518,0.233,-0.501,0.058,0.2149454176898392,13.337541002748663,16.587344573499404
4,0.12,0.98,0.398,0.531,0.261,-0.36,0.105,0.23048045150629792,14.822280526288843,15.915401345866186
5,0.16,0.98,0.313,0.559,0.307,-0.249,0.15,0.20652916736645024,19.374725804511357,16.533904560024503
6,0.2,0.98,0.296,0.619,0.361,-0.226,0.217,0.20267908273832858,19.734487578855465,16.654428840401565
7,0.24,0.98,0.341,0.613,0.404,-0.252,0.269,0.23129291216592868,18.90661259982866,17.3807364631077
8,0.28,0.98,0.344,0.584,0.407,-0.298,0.314,0.2686985578905351,17.509426032854588,18.69358178627091
9,0.32,0.98,0.316,0.54,0.422,-0.34,0.355,0.30056060733966616,15.97654530867042,18.172781845386247
10,0.36,0.88,0.235,0.557,0.468,-0.368,0.4,0.2851443053676621,15.707959765672902,18.60967490312501
26,1.0,0.77,0.425,0.423,0.467,-0.621,0.03,0.23477946542862,10.404806581575563,25.93260495977988
28,1.08,0.77,0.422,0.44,0.508,-0.653,0.096,0.20180961624954127,11.22719911643156,16.854969593564967
29,1.12,0.77,0.475,0.542,0.509,-0.666,0.108,0.2481739727932719,13.792751719653378,17.528262891684346
30,1.16,0.77,0.482,0.54,0.526,-0.668,0.128,0.28245213440111594,12.826924806827277,16.85852899869976
31,1.2,0.88,0.377,0.427,0.517,-0.649,0.247,0.3896779896202747,9.940824915468623,17.925400971805363
32,1.24,0.88,0.399,0.463,0.56,-0.617,0.241,0.3426067162575995,11.400438588054385,14.212670403551845
33,1.28,0.88,0.428,0.553,0.593,-0.588,0.237,0.27560600639485777,13.124404748406594,18.74806656698236
34,1.32,0.82,0.402,0.518,0.617,-0.577,0.283,0.31662984975414304,11.485643212288958,16.371316379570786
40,1.56,0.82,0.482,0.522,0.543,-0.539,0.242,0.34970651864392643,10.028459502834789,9.12414379544733
41,1.6,0.88,0.65,0.395,0.347,-0.951,0.196,0.31904480063081864,11.98206993803667,15.913830462839597
45,1.76,0.88,0.505,0.11,-0.064,-0.876,0.0,0.36492092044835234,9.055385138137417,9.5524865872714
46,1.8,0.88,0.486,0.073,-0.134,-0.804,-0.041,0.31617064878168794,10.720074626606012,9.912618221237102
47,1.84,0.88,0.511,0.033,-0.204,-0.767,-0.077,0.351893728542355,12.773801313626286,10.0284595028349
48,1.88,0.93,0.469,0.052,-0.218,-0.714,-0.092,0.3014863438937615,12.857682528356332,11.734564329364812
49,1.92,0.93,0.519,0.056,-0.175,-0.72,-0.101,0.3890914120095469,12.033702672078945,12.532358118087755
106,4.2,0.93,0.711,0.384,0.111,-0.732,-0.105,0.37140959478657726,10.517128885774865,11.810588469674105
107,4.24,0.93,0.596,0.445,0.152,-0.744,-0.106,0.3567303979764553,9.302150289046033,12.592855117089167
108,4.28,0.88,0.605,0.45,0.188,-0.71,-0.079,0.2713518671439685,9.800510190801361,13.971399357258404
109,4.32,0.88,0.526,0.463,0.225,-0.684,-0.036,0.2462154828406193,9.800510190801248,16.162301816263646
110,4.36,0.88,0.54,0.498,0.24,-0.653,-0.009,0.2713344349675216,10.899999999999977,16.025292509030933
111,4.4,0.88,0.534,0.469,0.249,-0.648,0.003,0.27805132339998095,11.5,16.577394246382635
112,4.44,0.88,0.517,0.47,0.258,-0.637,0.02,0.27772617236812186,12.100413216084835,18.344754018519893
113,4.48,0.88,0.516,0.478,0.28,-0.625,0.03,0.28375048944720616,12.220065466273015,17.81263596439341
114,4.52,0.88,0.542,0.487,0.295,-0.616,0.044,0.25972795929789,11.603878661895793,16.99999999999995
115,4.56,0.88,0.569,0.52,0.317,-0.615,0.058,0.30407262714925254,11.503912377969506,17.327723451163504
116,4.6,0.88,0.522,0.525,0.323,-0.622,0.067,0.30286555074167554,11.399999999999977,16.697305171793346
117,4.64,0.88,0.519,0.503,0.329,-0.648,0.082,0.2294400629652167,11.216059914248008,15.74071154681391
118,4.68,0.88,0.489,0.509,0.337,-0.648,0.091,0.2644455580291315,10.800000000000068,18.68689380287695
119,4.72,0.88,0.51,0.527,0.341,-0.653,0.095,0.309110450580757,11.100450441310953,18.133394607739632
120,4.76,0.88,0.496,0.526,0.334,-0.659,0.093,0.30978172705857043,11.211155159036846,18.179658962697864
121,4.8,0.88,0.517,0.509,0.315,-0.67,0.086,0.33897801293633545,12.839003076563294,18.5779439120695
122,4.84,0.98,0.572,0.527,0.304,-0.697,0.086,0.34270929733234723,13.146102083887856,16.378339354159152
123,4.88,0.98,0.551,0.488,0.284,-0.716,0.073,0.31268253286551523,12.134249049694013,16.475739740600492
124,4.92,0.98,0.566,0.495,0.265,-0.711,0.057,0.2926570985729017,13.33604139165735,16.787197502859048
125,4.96,0.98,0.58,0.518,0.241,-0.733,0.045,0.29124164434297156,13.038404810405298,15.245327152934454
126,5.0,0.93,0.599,0.509,0.199,-0.732,0.024,0.3323289011545384,10.0,16.871573726241362
127,5.04,0.93,0.522,0.466,0.177,-0.701,-0.003,0.21477313910857102,7.851751396981393,16.085397104206084
128,5.08,0.93,0.539,0.501,0.149,-0.674,-0.032,0.22222498235933602,7.833900688673586,17.19592975096147
129,5.12,0.93,0.541,0.491,0.152,-0.675,-0.043,0.21587252975375446,9.50368349641336,16.14094173212947
130,5.16,0.93,0.558,0.49,0.171,-0.701,-0.036,0.19793918060945956,8.609297300012262,14.159802258506383
131,5.2,0.93,0.553,0.445,0.179,-0.742,-0.032,0.2712072882431727,9.200543462209108,14.687409574189749
