frame,timestamp,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,EAR,Pupil_Scale (Left),Pupil_Scale (Right)
1,0.0,-0.19,-0.128,-0.315,0.287,0.06,0.26324995728951023,13.689411966918062,8.700000000000045
2,0.04,-0.182,-0.07,-0.3,0.279,0.072,0.23829209350795572,12.205326705991954,8.3054199171384
3,0.08,-0.158,-0.062,-0.292,0.287,0.079,0.15465717982605853,10.601886624558881,8.338465086573143
4,0.12,-0.23,-0.067,-0.287,0.271,0.076,0.034386554233304646,14.01748907615055,7.566372975210778
5,0.16,-0.279,-0.141,-0.312,0.271,0.083,0.07490644111688304,10.911461863563447,9.464142856064655
6,0.2,-0.221,-0.112,-0.321,0.278,0.087,0.06825816752173813,11.004090148667448,8.956003573022937
7,0.24,-0.169,-0.155,-0.326,0.281,0.097,0.1401552789529254,12.214745187681908,10.231324449942976
8,0.28,-0.166,-0.154,-0.33,0.274,0.104,0.18569618676818367,12.700393694685262,8.637129152675584
9,0.32,-0.216,-0.128,-0.332,0.28,0.112,0.2176786149530668,11.900420160649768,9.135097153287335
10,0.36,-0.2,-0.121,-0.346,0.277,0.12,0.23319124106519837,14.516886718577092,8.221921916437834
11,0.4,-0.166,-0.182,-0.346,0.265,0.116,0.22293052745630518,14.700340132119438,9.804590761474907
12,0.44,-0.182,-0.129,-0.34,0.278,0.115,0.24382712234407639,13.423859355639845,9.004998611882181
13,0.48,-0.155,-0.152,-0.341,0.272,0.12,0.2193187163535122,13.267252918370128,9.135097153287447
14,0.52,-0.197,-0.134,-0.343,0.272,0.115,0.23193491717092585,15.74071154681391,8.500588214941363
15,0.56,-0.134,-0.156,-0.352,0.28,0.114,0.2292042827195092,13.462912017836233,8.714355971613783
16,0.6,-0.143,-0.131,-0.337,0.259,0.104,0.2151691948183545,14.552319402761857,8.614522621712618
17,0.64,-0.139,-0.124,-0.343,0.256,0.098,0.2381240347325444,15.938004893963338,8.200000000000045
